Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727635	7727930	CTCF	SKNSHRA	spp.optimal.wgEncodeUwTfbsSknshraCtcfStdAlnRep0_VS_wgEncodeUwTfbsSknshraInputStdAlnRep1.narrowPeak
chr1	7727853	7727853	chr1	7727664	7727875	CTCF	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraCtcfV0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr4	3454453	3454453	chr4	3454298	3454461	CTCF	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraCtcfV0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr6	130073290	130073290	chr6	130073112	130073291	CTCF	SKNSHRA	spp.optimal.wgEncodeUwTfbsSknshraCtcfStdAlnRep0_VS_wgEncodeUwTfbsSknshraInputStdAlnRep1.narrowPeak
chr6	136359445	136359445	chr6	136359432	136359618	CTCF	SKNSHRA	spp.optimal.wgEncodeUwTfbsSknshraCtcfStdAlnRep0_VS_wgEncodeUwTfbsSknshraInputStdAlnRep1.narrowPeak
chr10	5706021	5706021	chr10	5706001	5706075	CTCF	SKNSHRA	spp.optimal.wgEncodeUwTfbsSknshraCtcfStdAlnRep0_VS_wgEncodeUwTfbsSknshraInputStdAlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390597	49390804	CTCF	SKNSHRA	spp.optimal.wgEncodeUwTfbsSknshraCtcfStdAlnRep0_VS_wgEncodeUwTfbsSknshraInputStdAlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390674	49390773	CTCF	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraCtcfV0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr12	58299249	58299249	chr12	58299176	58299453	CTCF	SKNSHRA	spp.optimal.wgEncodeUwTfbsSknshraCtcfStdAlnRep0_VS_wgEncodeUwTfbsSknshraInputStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299184	58299424	CTCF	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraCtcfV0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr17	959514	959514	chr17	959370	959569	CTCF	SKNSHRA	spp.optimal.wgEncodeUwTfbsSknshraCtcfStdAlnRep0_VS_wgEncodeUwTfbsSknshraInputStdAlnRep1.narrowPeak
chr17	959514	959514	chr17	959424	959546	CTCF	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraCtcfV0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr17	74519373	74519373	chr17	74519217	74519485	CTCF	SKNSHRA	spp.optimal.wgEncodeUwTfbsSknshraCtcfStdAlnRep0_VS_wgEncodeUwTfbsSknshraInputStdAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519246	74519458	CTCF	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraCtcfV0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr18	48188791	48188791	chr18	48188632	48188795	CTCF	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraCtcfV0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
chr18	48188791	48188791	chr18	48188630	48188845	CTCF	SKNSHRA	spp.optimal.wgEncodeUwTfbsSknshraCtcfStdAlnRep0_VS_wgEncodeUwTfbsSknshraInputStdAlnRep1.narrowPeak
chr19	495721	495721	chr19	495691	495941	CTCF	SKNSHRA	spp.optimal.wgEncodeUwTfbsSknshraCtcfStdAlnRep0_VS_wgEncodeUwTfbsSknshraInputStdAlnRep1.narrowPeak
chr21	38539118	38539118	chr21	38539093	38539256	CTCF	SKNSHRA	spp.optimal.wgEncodeHaibTfbsSknshraCtcfV0416102AlnRep0_VS_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak
