Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	202075668	202075668	chr1	202075520	202075669	HCT116	HCT116-DS13547.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314940	102315089	HCT116	HCT116-DS13551.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HCT116	HCT116-DS13551.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767160	70767309	HCT116	HCT116-DS13547.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805540	137805689	HCT116	HCT116-DS13551.peaks.fdr0.01.hg19.bed
chr6	130069290	130069290	chr6	130069260	130069409	HCT116	HCT116-DS13551.peaks.fdr0.01.hg19.bed
chr6	130073290	130073290	chr6	130073160	130073309	HCT116	HCT116-DS13547.peaks.fdr0.01.hg19.bed
chr9	4090723	4090723	chr9	4090620	4090769	HCT116	HCT116-DS13551.peaks.fdr0.01.hg19.bed
chr9	4090723	4090723	chr9	4090580	4090729	HCT116	HCT116-DS13547.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794540	111794689	HCT116	HCT116-DS13547.peaks.fdr0.01.hg19.bed
chr10	114715688	114715688	chr10	114715620	114715769	HCT116	HCT116-DS13547.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729820	128729969	HCT116	HCT116-DS13547.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729840	128729989	HCT116	HCT116-DS13551.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	HCT116	HCT116-DS13551.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299240	58299389	HCT116	HCT116-DS13547.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463300	43463449	HCT116	HCT116-DS13551.peaks.fdr0.01.hg19.bed
chr14	50433110	50433110	chr14	50433000	50433149	HCT116	HCT116-DS13551.peaks.fdr0.01.hg19.bed
chr17	959514	959514	chr17	959380	959529	HCT116	HCT116-DS13551.peaks.fdr0.01.hg19.bed
chr17	56472118	56472118	chr17	56472000	56472149	HCT116	HCT116-DS13551.peaks.fdr0.01.hg19.bed
chr17	56472118	56472118	chr17	56472000	56472149	HCT116	HCT116-DS13547.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	HCT116	HCT116-DS13547.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519300	74519449	HCT116	HCT116-DS13551.peaks.fdr0.01.hg19.bed
chr19	495721	495721	chr19	495720	495869	HCT116	HCT116-DS13547.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	HCT116	HCT116-DS13551.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	HCT116	HCT116-DS13547.peaks.fdr0.01.hg19.bed
chr21	38539118	38539118	chr21	38539060	38539209	HCT116	HCT116-DS13551.peaks.fdr0.01.hg19.bed
chr21	38539118	38539118	chr21	38539080	38539229	HCT116	HCT116-DS13547.peaks.fdr0.01.hg19.bed
chr22	38158740	38158740	chr22	38158700	38158849	HCT116	HCT116-DS13551.peaks.fdr0.01.hg19.bed
