Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727720	7727869	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13242.peaks.fdr0.01.hg19.bed
chr1	22224101	22224101	chr1	22223980	22224129	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
chr1	36789545	36789545	chr1	36789440	36789589	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13242.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462980	4463129	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
chr3	12391582	12391582	chr3	12391480	12391629	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13242.peaks.fdr0.01.hg19.bed
chr3	37952593	37952593	chr3	37952540	37952689	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
chr3	37969438	37969438	chr3	37969340	37969489	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13242.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352840	99352989	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13242.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352860	99353009	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196540	40196689	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13242.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13242.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
chr5	159880355	159880355	chr5	159880300	159880449	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13242.peaks.fdr0.01.hg19.bed
chr5	170173509	170173509	chr5	170173480	170173629	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140020	84140169	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13242.peaks.fdr0.01.hg19.bed
chr6	136359445	136359445	chr6	136359440	136359589	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13242.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13242.peaks.fdr0.01.hg19.bed
chr8	26437075	26437075	chr8	26436940	26437089	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356400	119356549	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356400	119356549	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13242.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794440	111794589	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794480	111794629	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13242.peaks.fdr0.01.hg19.bed
chr10	129676168	129676168	chr10	129676060	129676209	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13242.peaks.fdr0.01.hg19.bed
chr10	129676168	129676168	chr10	129676120	129676269	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290740	12290889	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13242.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290760	12290909	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729800	128729949	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13242.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729820	128729969	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
chr11	128735665	128735665	chr11	128735580	128735729	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390640	49390789	HMVEC_DBLNEO	HMVEC_dBlNeo-DS13233.peaks.fdr0.01.hg19.bed
