Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	3197746	3197746	chr1	3197147	3198325	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr1	7727853	7727853	chr1	7727290	7728153	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr1	22224101	22224101	chr1	22223985	22224181	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36788388	36789884	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr2	129124334	129124334	chr2	129124322	129124553	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr2	129124529	129124529	chr2	129124322	129124553	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr2	238635136	238635136	chr2	238635074	238635450	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr3	52968725	52968725	chr3	52968707	52968977	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr5	1477230	1477230	chr5	1477207	1477625	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr5	137797379	137797379	chr5	137797002	137797414	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr5	137822865	137822865	chr5	137822727	137823063	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr5	167913602	167913602	chr5	167913193	167913716	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr5	173750016	173750016	chr5	173750000	173750086	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr5	178750376	178750376	chr5	178749960	178751200	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr6	31107086	31107086	chr6	31106962	31107352	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr7	5530781	5530781	chr7	5530705	5531262	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr7	39374822	39374822	chr7	39374772	39374897	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr7	155257893	155257893	chr7	155256953	155257900	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr8	22849421	22849421	chr8	22849398	22849763	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr8	70621371	70621371	chr8	70621359	70621579	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr8	143887956	143887956	chr8	143887383	143888341	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr9	115983539	115983539	chr9	115983441	115984000	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr10	6276573	6276573	chr10	6276288	6276907	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr10	29409191	29409191	chr10	29409160	29409658	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr10	43809569	43809569	chr10	43809249	43809684	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr10	73820000	73820000	chr10	73819670	73820125	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr10	114581912	114581912	chr10	114581845	114582036	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr11	2712285	2712285	chr11	2711925	2712533	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr11	2933064	2933064	chr11	2932307	2939899	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr11	47600437	47600437	chr11	47600007	47600829	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr11	128729844	128729844	chr11	128729708	128730212	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr12	49390676	49390676	chr12	49389847	49391180	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr12	58299249	58299249	chr12	58299060	58299489	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr12	124418673	124418673	chr12	124418448	124419283	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr12	124983615	124983615	chr12	124983369	124983774	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr13	111365588	111365588	chr13	111364603	111366069	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr14	104859418	104859418	chr14	104858865	104859826	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr15	34647567	34647567	chr15	34647476	34647643	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr15	90895957	90895957	chr15	90895096	90896224	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr15	99498084	99498084	chr15	99497633	99498106	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr16	633353	633353	chr16	632853	634839	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr16	671681	671681	chr16	670882	672100	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr16	1481019	1481019	chr16	1479278	1482049	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr16	1495299	1495299	chr16	1492200	1497575	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr16	57771125	57771125	chr16	57770305	57771392	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr16	70743024	70743024	chr16	70742918	70743171	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr17	959514	959514	chr17	959063	959700	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
chr17	3408334	3408334	chr17	3408310	3408749	PANCREATIC_ISLETS	Pancreatic_isletsDukeDNaseSeq.pk
