Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	42680326	42680326	chr1	42680320	42680469	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr2	34533130	34533130	chr2	34533120	34533269	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063800	221063949	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462960	4463109	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4463000	4463149	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352860	99353009	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352860	99353009	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr4	10589552	10589552	chr4	10589480	10589629	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr4	10589552	10589552	chr4	10589500	10589649	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr4	52938242	52938242	chr4	52938120	52938269	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr4	52938242	52938242	chr4	52938160	52938309	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465260	54465409	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941060	57941209	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941080	57941229	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr5	78041975	78041975	chr5	78041960	78042109	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805620	137805769	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805640	137805789	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822840	137822989	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822860	137823009	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr6	42190445	42190445	chr6	42190340	42190489	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr6	42190445	42190445	chr6	42190360	42190509	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84139980	84140129	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140000	84140149	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr7	68860782	68860782	chr7	68860780	68860929	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr8	18467518	18467518	chr8	18467380	18467529	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356320	119356469	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356340	119356489	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr8	131954651	131954651	chr8	131954540	131954689	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr8	131954651	131954651	chr8	131954540	131954689	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr10	29402288	29402288	chr10	29402180	29402329	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr10	29402288	29402288	chr10	29402220	29402369	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr10	82282750	82282750	chr10	82282620	82282769	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr11	2933064	2933064	chr11	2932920	2933069	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729800	128729949	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729820	128729969	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr11	128735665	128735665	chr11	128735520	128735669	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr11	128735665	128735665	chr11	128735540	128735689	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390660	49390809	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299240	58299389	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr12	58958148	58958148	chr12	58958020	58958169	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr12	58958148	58958148	chr12	58958060	58958209	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr13	95860573	95860573	chr13	95860440	95860589	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr13	103374376	103374376	chr13	103374300	103374449	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr13	103374376	103374376	chr13	103374340	103374489	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155620	34155769	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155640	34155789	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463300	43463449	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463300	43463449	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr15	90895957	90895957	chr15	90895920	90896069	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr15	90964890	90964890	chr15	90964840	90964989	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519260	74519409	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr19	1847697	1847697	chr19	1847580	1847729	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr21	38539118	38539118	chr21	38539100	38539249	HRE	HRE-DS10631.peaks.fdr0.01.hg19.bed
chr21	43817116	43817116	chr21	43817060	43817209	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
chr22	18560569	18560569	chr22	18560560	18560709	HRE	HRE-DS10641.peaks.fdr0.01.hg19.bed
