Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	3197746	3197746	chr1	3197704	3202503	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr1	7727853	7727853	chr1	7727321	7728550	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr1	7727853	7727853	chr1	7727383	7728389	HUVEC	HUVECDukeDNaseSeq.pk
chr1	7727853	7727853	chr1	7727513	7727875	HUVEC	idrPool.HUVEC-DS10060-DS13475.z_OV_HUVEC-DS10060.z_VS_HUVEC-DS13475.z.npk2.narrowPeak
chr1	22224101	22224101	chr1	22223259	22224476	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr1	22224101	22224101	chr1	22223375	22224361	HUVEC	HUVECDukeDNaseSeq.pk
chr1	22224101	22224101	chr1	22223621	22224279	HUVEC	idrPool.HUVEC-DS10060-DS13475.z_OV_HUVEC-DS10060.z_VS_HUVEC-DS13475.z.npk2.narrowPeak
chr1	36789545	36789545	chr1	36786607	36790538	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr1	36789545	36789545	chr1	36787652	36790280	HUVEC	HUVECDukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36789523	36789811	HUVEC	idrPool.HUVEC-DS10060-DS13475.z_OV_HUVEC-DS10060.z_VS_HUVEC-DS13475.z.npk2.narrowPeak
chr1	42680326	42680326	chr1	42680172	42680544	HUVEC	idrPool.HUVEC-DS10060-DS13475.z_OV_HUVEC-DS10060.z_VS_HUVEC-DS13475.z.npk2.narrowPeak
chr1	113242121	113242121	chr1	113241980	113242129	HUVEC	HUVEC-DS10060.peaks.fdr0.01.hg19.bed
chr1	113248364	113248364	chr1	113247195	113250767	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr1	113248364	113248364	chr1	113247261	113248980	HUVEC	HUVECDukeDNaseSeq.pk
chr1	183188061	183188061	chr1	183188044	183188425	HUVEC	idrPool.HUVEC-DS10060-DS13475.z_OV_HUVEC-DS10060.z_VS_HUVEC-DS13475.z.npk2.narrowPeak
chr1	204940971	204940971	chr1	204940832	204942112	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr1	204940971	204940971	chr1	204940911	204941999	HUVEC	HUVECDukeDNaseSeq.pk
chr2	102315056	102315056	chr2	102313099	102315597	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr2	102315056	102315056	chr2	102313232	102315185	HUVEC	HUVECDukeDNaseSeq.pk
chr2	102315056	102315056	chr2	102314776	102315101	HUVEC	idrPool.HUVEC-DS10060-DS13475.z_OV_HUVEC-DS10060.z_VS_HUVEC-DS13475.z.npk2.narrowPeak
chr2	102315056	102315056	chr2	102314960	102315109	HUVEC	HUVEC-DS10060.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238235000	238235149	HUVEC	HUVEC-DS10060.peaks.fdr0.01.hg19.bed
chr2	238635136	238635136	chr2	238635005	238635504	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr2	238635136	238635136	chr2	238634921	238635637	HUVEC	idrPool.HUVEC-DS10060-DS13475.z_OV_HUVEC-DS10060.z_VS_HUVEC-DS13475.z.npk2.narrowPeak
chr2	238635136	238635136	chr2	238635057	238635456	HUVEC	HUVECDukeDNaseSeq.pk
chr3	19931169	19931169	chr3	19930546	19931203	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr3	19931169	19931169	chr3	19930551	19931238	HUVEC	idrPool.HUVEC_FAIRE_BP_TP_peaks_OV_HUVEC_B1_peaks_VS_UncFAIRE_HUVEC_B2_peaks.npk2.narrowPeak
chr3	19931169	19931169	chr3	19930602	19931172	HUVEC	HUVECDukeDNaseSeq.pk
chr3	19931169	19931169	chr3	19931075	19931309	HUVEC	idrPool.HUVEC-DS10060-DS13475.z_OV_HUVEC-DS10060.z_VS_HUVEC-DS13475.z.npk2.narrowPeak
chr3	37952593	37952593	chr3	37952296	37952938	HUVEC	idrPool.HUVEC-DS10060-DS13475.z_OV_HUVEC-DS10060.z_VS_HUVEC-DS13475.z.npk2.narrowPeak
chr3	44380487	44380487	chr3	44379335	44380610	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr3	44380487	44380487	chr3	44379372	44380524	HUVEC	HUVECDukeDNaseSeq.pk
chr3	44380487	44380487	chr3	44379424	44380762	HUVEC	idrPool.HUVEC_FAIRE_BP_TP_peaks_OV_HUVEC_B1_peaks_VS_UncFAIRE_HUVEC_B2_peaks.npk2.narrowPeak
chr3	44380487	44380487	chr3	44380147	44380514	HUVEC	idrPool.HUVEC-DS10060-DS13475.z_OV_HUVEC-DS10060.z_VS_HUVEC-DS13475.z.npk2.narrowPeak
chr3	52968725	52968725	chr3	52968517	52969102	HUVEC	idrPool.HUVEC-DS10060-DS13475.z_OV_HUVEC-DS10060.z_VS_HUVEC-DS13475.z.npk2.narrowPeak
chr3	99352911	99352911	chr3	99352840	99352989	HUVEC	HUVEC-DS10060.peaks.fdr0.01.hg19.bed
chr3	126265705	126265705	chr3	126265563	126266027	HUVEC	HUVECDukeDNaseSeq.pk
chr3	188228689	188228689	chr3	188228045	188228742	HUVEC	idrPool.HUVEC-DS10060-DS13475.z_OV_HUVEC-DS10060.z_VS_HUVEC-DS13475.z.npk2.narrowPeak
chr4	3454453	3454453	chr4	3453635	3454569	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr4	3454453	3454453	chr4	3454241	3454497	HUVEC	HUVECDukeDNaseSeq.pk
chr4	54465286	54465286	chr4	54465260	54465409	HUVEC	HUVEC-DS10060.peaks.fdr0.01.hg19.bed
chr4	88313178	88313178	chr4	88311755	88313202	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr4	170580817	170580817	chr4	170580085	170580991	HUVEC	idrPool.HUVEC-DS10060-DS13475.z_OV_HUVEC-DS10060.z_VS_HUVEC-DS13475.z.npk2.narrowPeak
chr5	55422680	55422680	chr5	55422411	55423021	HUVEC	idrPool.HUVEC-DS10060-DS13475.z_OV_HUVEC-DS10060.z_VS_HUVEC-DS13475.z.npk2.narrowPeak
chr5	55422680	55422680	chr5	55422680	55422829	HUVEC	HUVEC-DS10060.peaks.fdr0.01.hg19.bed
chr5	64106917	64106917	chr5	64106853	64107255	HUVEC	idrPool.HUVEC-DS10060-DS13475.z_OV_HUVEC-DS10060.z_VS_HUVEC-DS13475.z.npk2.narrowPeak
chr5	70767268	70767268	chr5	70767120	70767269	HUVEC	HUVEC-DS10060.peaks.fdr0.01.hg19.bed
chr5	137797379	137797379	chr5	137796976	137797462	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr5	137797379	137797379	chr5	137797020	137797424	HUVEC	HUVECDukeDNaseSeq.pk
chr5	137797379	137797379	chr5	137797073	137797415	HUVEC	idrPool.HUVEC-DS10060-DS13475.z_OV_HUVEC-DS10060.z_VS_HUVEC-DS13475.z.npk2.narrowPeak
chr5	137802403	137802403	chr5	137799317	137802487	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr5	137802403	137802403	chr5	137799397	137802412	HUVEC	HUVECDukeDNaseSeq.pk
chr5	167913602	167913602	chr5	167913135	167914086	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr5	167913602	167913602	chr5	167913169	167914030	HUVEC	HUVECDukeDNaseSeq.pk
chr5	173738576	173738576	chr5	173738561	173739695	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr6	16332729	16332729	chr6	16332239	16332796	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr6	16332729	16332729	chr6	16332288	16332758	HUVEC	HUVECDukeDNaseSeq.pk
chr6	84140037	84140037	chr6	84139915	84141405	HUVEC	idrPool.HUVEC_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_HUVEC_B1_peaks_VS_DukeDNase_HUVEC_B2_peaks.npk2.narrowPeak
chr6	84140037	84140037	chr6	84139983	84140244	HUVEC	HUVECDukeDNaseSeq.pk
