Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36785706	36790296	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246363	113250866	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312779	102318806	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153571797	153577217	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr3	19931169	19931169	chr3	19930332	19931505	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378642	44381935	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr3	153901241	153901241	chr3	153900741	153901724	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88310411	88313320	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170579879	170583899	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137798910	137804689	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167912935	167915179	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr6	26103176	26103176	chr6	26103140	26105300	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr6	46457835	46457835	chr6	46457780	46460152	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr6	52436647	52436647	chr6	52434202	52443246	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84138882	84141596	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr6	136359445	136359445	chr6	136357109	136363289	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160208733	160214053	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170860164	170865138	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433187	26441749	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115981659	115986577	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr10	13341377	13341377	chr10	13340758	13342829	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr10	71890629	71890629	chr10	71890529	71893404	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr10	114715688	114715688	chr10	114708707	114716950	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr11	35161075	35161075	chr11	35159823	35167607	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr11	47600437	47600437	chr11	47598621	47602585	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr11	118231583	118231583	chr11	118229656	118231748	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr12	49390676	49390676	chr12	49390619	49391224	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr12	50298534	50298534	chr12	50296844	50298665	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr13	111365588	111365588	chr13	111363469	111367822	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr15	90895957	90895957	chr15	90894844	90896377	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr16	637211	637211	chr16	637080	637786	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr16	15980246	15980246	chr16	15980137	15980713	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr16	57024661	57024661	chr16	57021562	57025425	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr16	57771125	57771125	chr16	57769407	57771374	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr17	48273154	48273154	chr17	48270939	48283540	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr17	73871466	73871466	chr17	73871429	73875322	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr18	3653421	3653421	chr18	3653094	3653761	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr19	1847697	1847697	chr19	1845692	1849209	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr19	2238666	2238666	chr19	2234335	2241891	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr19	4585170	4585170	chr19	4584101	4585178	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr19	49621963	49621963	chr19	49621199	49622465	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr22	18560569	18560569	chr22	18558974	18562705	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
chr22	38144617	38144617	chr22	38140350	38148564	H3K4ME3	AOAF	wgEncodeUwHistoneAoafH3k4me3StdAln.narrowPeak
