Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727526	7730080	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr1	22224101	22224101	chr1	22219398	22242411	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr1	36789545	36789545	chr1	36786025	36790210	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr1	62677047	62677047	chr1	62675430	62677054	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr1	113248364	113248364	chr1	113246259	113250647	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr1	167635556	167635556	chr1	167628698	167637586	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr1	168090310	168090310	chr1	168090238	168091796	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr1	183241261	183241261	chr1	183239309	183243512	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr1	223960535	223960535	chr1	223957134	223964661	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr1	230238820	230238820	chr1	230238341	230242552	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr2	37865695	37865695	chr2	37861773	37867726	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr2	56761126	56761126	chr2	56758774	56762667	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr2	102315056	102315056	chr2	102313005	102318197	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr2	144282077	144282077	chr2	144281223	144283708	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr2	179198192	179198192	chr2	179194439	179199418	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr2	230039816	230039816	chr2	230039318	230041207	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr2	238224334	238224334	chr2	238223007	238225033	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr2	238635136	238635136	chr2	238622263	238636731	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr3	4463007	4463007	chr3	4462280	4464016	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr3	19931169	19931169	chr3	19930012	19931841	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr3	44380487	44380487	chr3	44378856	44381577	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr3	188228689	188228689	chr3	188227680	188228976	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr4	3461899	3461899	chr4	3461857	3467823	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr4	88313178	88313178	chr4	88311437	88313296	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr4	170580817	170580817	chr4	170580033	170582490	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr4	185674312	185674312	chr4	185671408	185675055	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr5	92528308	92528308	chr5	92524406	92529073	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr5	137802403	137802403	chr5	137799055	137802470	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr5	167913602	167913602	chr5	167912627	167915032	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr6	6712344	6712344	chr6	6711809	6716234	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr6	26103176	26103176	chr6	26102830	26105219	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr6	52436647	52436647	chr6	52434163	52443187	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr6	71914837	71914837	chr6	71912552	71916491	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr6	130069290	130069290	chr6	130068945	130071967	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr6	130071840	130071840	chr6	130068945	130071967	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr6	136359445	136359445	chr6	136357765	136360259	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr6	160210060	160210060	chr6	160208989	160212771	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr6	169357723	169357723	chr6	169355499	169360176	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr6	170862335	170862335	chr6	170860364	170864884	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr7	128367891	128367891	chr7	128367711	128370407	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr7	130007597	130007597	chr7	130002423	130008311	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr7	130012956	130012956	chr7	130011544	130015206	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr8	26437075	26437075	chr8	26433889	26437696	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr8	119017884	119017884	chr8	119016219	119018222	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr8	123971080	123971080	chr8	123970452	123972805	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr9	115983539	115983539	chr9	115981193	115985364	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr10	6278850	6278850	chr10	6277889	6279458	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr10	13341377	13341377	chr10	13341027	13342782	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr10	29430623	29430623	chr10	29429124	29432074	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr10	52361843	52361843	chr10	52359484	52362382	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr10	62185493	62185493	chr10	62184144	62187425	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr10	114715688	114715688	chr10	114709916	114720624	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr11	8852238	8852238	chr11	8846898	8856863	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr11	8886259	8886259	chr11	8885087	8886377	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr11	8939886	8939886	chr11	8937636	8940796	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr11	12290811	12290811	chr11	12290210	12291451	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr11	12441630	12441630	chr11	12438986	12443919	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr11	35109674	35109674	chr11	35108243	35110789	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr11	35161075	35161075	chr11	35159672	35167844	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr11	36056921	36056921	chr11	36054588	36057559	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr11	47600437	47600437	chr11	47599463	47601556	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr11	112187391	112187391	chr11	112186768	112190469	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr11	119235403	119235403	chr11	119231285	119236761	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr12	6340387	6340387	chr12	6337844	6340874	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr12	30946068	30946068	chr12	30945003	30950394	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr12	58705074	58705074	chr12	58703282	58705977	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr12	58736106	58736106	chr12	58735884	58737522	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr12	83437182	83437182	chr12	83435976	83437492	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr12	124983615	124983615	chr12	124980775	124984167	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr13	32799287	32799287	chr13	32798159	32800845	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr13	106580721	106580721	chr13	106580566	106582759	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr13	111365588	111365588	chr13	111363727	111367875	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr14	34155697	34155697	chr14	34154671	34156408	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr14	50433110	50433110	chr14	50432274	50434545	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr14	51407579	51407579	chr14	51407361	51408745	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr14	52732722	52732722	chr14	52732391	52734449	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr14	59922319	59922319	chr14	59920073	59923026	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr14	64700044	64700044	chr14	64698676	64700139	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr15	57448454	57448454	chr15	57448183	57449434	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr15	63212674	63212674	chr15	63212437	63213763	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr15	86726593	86726593	chr15	86726291	86727888	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr15	99498084	99498084	chr15	99496567	99499105	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr16	637211	637211	chr16	637014	640895	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr16	57771125	57771125	chr16	57768302	57771965	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr16	70743024	70743024	chr16	70716664	70743734	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr16	83170416	83170416	chr16	83170058	83172379	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
chr17	36605489	36605489	chr17	36605126	36611883	H3K27AC	HSMM	wgEncodeBroadHistoneHsmmH3k27acStdAln.narrowPeak
