Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36788425	36790057	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr1	42680326	42680326	chr1	42678405	42681241	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr1	113242121	113242121	chr1	113241895	113251225	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr1	113248364	113248364	chr1	113241895	113251225	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr1	153338750	153338750	chr1	153335522	153338758	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr1	183241261	183241261	chr1	183239177	183244801	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr1	202075668	202075668	chr1	202072509	202079624	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr1	202081211	202081211	chr1	202079627	202084915	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr1	209211967	209211967	chr1	209211896	209213724	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr1	216840370	216840370	chr1	216838642	216840909	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr1	223960535	223960535	chr1	223957058	223965624	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr1	230238820	230238820	chr1	230236620	230252335	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr1	233771246	233771246	chr1	233770167	233772829	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr2	43165146	43165146	chr2	43163402	43165496	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr2	46639625	46639625	chr2	46633135	46639716	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr2	73329871	73329871	chr2	73329622	73331218	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr2	73330953	73330953	chr2	73329622	73331218	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr2	85514931	85514931	chr2	85514499	85516506	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr2	102315056	102315056	chr2	102312978	102317197	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr2	159926848	159926848	chr2	159925293	159927511	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr3	12391206	12391206	chr3	12391014	12393649	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr3	12391582	12391582	chr3	12391014	12393649	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr3	19931169	19931169	chr3	19929688	19931853	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr3	31135968	31135968	chr3	31133084	31137090	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr3	44380487	44380487	chr3	44377615	44382096	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr3	122388463	122388463	chr3	122387984	122389198	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr4	57941159	57941159	chr4	57940231	57941795	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr4	57941699	57941699	chr4	57940231	57941795	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr4	88313178	88313178	chr4	88310493	88313256	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr4	170580817	170580817	chr4	170579358	170584196	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr4	184345713	184345713	chr4	184343108	184346130	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr5	58574963	58574963	chr5	58568197	58577474	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr5	58583212	58583212	chr5	58582562	58584813	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr5	60936295	60936295	chr5	60935525	60937406	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr5	95033840	95033840	chr5	95032539	95035297	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr5	118734730	118734730	chr5	118730655	118737029	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr5	153003763	153003763	chr5	153003489	153004454	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr5	167913602	167913602	chr5	167912634	167915148	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr6	6712344	6712344	chr6	6711469	6715202	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr6	26103176	26103176	chr6	26102342	26105609	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr6	44421239	44421239	chr6	44419327	44422724	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr6	55742441	55742441	chr6	55738686	55744777	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr6	84140037	84140037	chr6	84139120	84142307	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr6	130069290	130069290	chr6	130068754	130072041	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr6	130071840	130071840	chr6	130068754	130072041	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr6	138409766	138409766	chr6	138407119	138412046	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr6	160210060	160210060	chr6	160208900	160213166	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr6	170862335	170862335	chr6	170860166	170864988	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr7	130012956	130012956	chr7	130011934	130015211	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr7	138573470	138573470	chr7	138573466	138584764	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr7	138580905	138580905	chr7	138573466	138584764	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
chr8	22849421	22849421	chr8	22836332	22850499	H3K27AC	HELAS3	wgEncodeBroadHistoneHelas3H3k27acStdAln.narrowPeak
