Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HELA	Hela-DS10011.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680134	42680531	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr1	113248364	113248364	chr1	113248296	113248513	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr1	183241261	183241261	chr1	183241233	183241992	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr1	202075668	202075668	chr1	202074409	202075704	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr1	202075668	202075668	chr1	202075540	202075689	HELA	Hela-DS10011.peaks.fdr0.01.hg19.bed
chr1	202075668	202075668	chr1	202075560	202075709	HELA	Hela-DS8200.peaks.fdr0.01.hg19.bed
chr1	216840370	216840370	chr1	216839790	216840449	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr2	221063850	221063850	chr2	221063589	221064029	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr2	221063850	221063850	chr2	221063800	221063949	HELA	Hela-DS10011.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063800	221063949	HELA	Hela-DS8200.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462960	4463109	HELA	Hela-DS8200.peaks.fdr0.01.hg19.bed
chr3	12391582	12391582	chr3	12391480	12391746	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr3	31135968	31135968	chr3	31135908	31136149	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr3	44380487	44380487	chr3	44380143	44380487	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr3	99352911	99352911	chr3	99352860	99353009	HELA	Hela-DS8200.peaks.fdr0.01.hg19.bed
chr3	122388463	122388463	chr3	122388164	122388546	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr4	57941159	57941159	chr4	57940927	57941373	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr4	57941159	57941159	chr4	57941040	57941189	HELA	Hela-DS10011.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941060	57941209	HELA	Hela-DS8200.peaks.fdr0.01.hg19.bed
chr4	170580817	170580817	chr4	170580391	170580993	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr4	186909595	186909595	chr4	186909201	186909631	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr5	58583212	58583212	chr5	58582998	58583602	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr5	60936295	60936295	chr5	60936200	60936349	HELA	Hela-DS8200.peaks.fdr0.01.hg19.bed
chr5	60936295	60936295	chr5	60935935	60936634	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr5	60936295	60936295	chr5	60936280	60936429	HELA	Hela-DS10011.peaks.fdr0.01.hg19.bed
chr5	64106917	64106917	chr5	64106850	64107234	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr5	70767268	70767268	chr5	70767140	70767289	HELA	Hela-DS8200.peaks.fdr0.01.hg19.bed
chr5	92528308	92528308	chr5	92527653	92528369	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr5	95033840	95033840	chr5	95033306	95033902	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr5	137805651	137805651	chr5	137805625	137805910	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr5	167913602	167913602	chr5	167913052	167913720	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr6	84140037	84140037	chr6	84139912	84140257	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr6	84140037	84140037	chr6	84140000	84140149	HELA	Hela-DS8200.peaks.fdr0.01.hg19.bed
chr6	130073290	130073290	chr6	130073048	130073396	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr6	138409766	138409766	chr6	138409402	138410090	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr6	160625977	160625977	chr6	160625880	160626029	HELA	Hela-DS10011.peaks.fdr0.01.hg19.bed
chr6	160625977	160625977	chr6	160625880	160626029	HELA	Hela-DS8200.peaks.fdr0.01.hg19.bed
chr6	170862335	170862335	chr6	170861811	170862508	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr6	170862335	170862335	chr6	170862320	170862469	HELA	Hela-DS10011.peaks.fdr0.01.hg19.bed
chr6	170862335	170862335	chr6	170862320	170862469	HELA	Hela-DS8200.peaks.fdr0.01.hg19.bed
chr7	138580905	138580905	chr7	138580286	138580998	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr8	18467518	18467518	chr8	18467229	18467650	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr8	18469350	18469350	chr8	18469184	18469605	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr8	18469350	18469350	chr8	18469300	18469449	HELA	Hela-DS8200.peaks.fdr0.01.hg19.bed
chr8	60179085	60179085	chr8	60178931	60179185	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr8	119356465	119356465	chr8	119356320	119356469	HELA	Hela-DS10011.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356284	119356714	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr8	119356465	119356465	chr8	119356320	119356469	HELA	Hela-DS8200.peaks.fdr0.01.hg19.bed
chr9	21674948	21674948	chr9	21674824	21675224	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
chr9	90403093	90403093	chr9	90402980	90403129	HELA	Hela-DS10011.peaks.fdr0.01.hg19.bed
chr9	115983539	115983539	chr9	115983528	115983937	HELA	idrPool.Hela-DS8200-DS10011.z_OV_Hela-DS10011.z_VS_Hela-DS8200.z.npk2.narrowPeak
