Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727631	7727952	CTCF	HCPE	spp.optimal.wgEncodeUwTfbsHcpeCtcfStdAlnRep0_VS_wgEncodeUwTfbsHcpeInputStdAlnRep1.narrowPeak
chr3	52968725	52968725	chr3	52968715	52968963	CTCF	HCPE	spp.optimal.wgEncodeUwTfbsHcpeCtcfStdAlnRep0_VS_wgEncodeUwTfbsHcpeInputStdAlnRep1.narrowPeak
chr3	196019679	196019679	chr3	196019476	196019739	CTCF	HCPE	spp.optimal.wgEncodeUwTfbsHcpeCtcfStdAlnRep0_VS_wgEncodeUwTfbsHcpeInputStdAlnRep1.narrowPeak
chr6	136359445	136359445	chr6	136359398	136359661	CTCF	HCPE	spp.optimal.wgEncodeUwTfbsHcpeCtcfStdAlnRep0_VS_wgEncodeUwTfbsHcpeInputStdAlnRep1.narrowPeak
chr11	128729844	128729844	chr11	128729810	128730048	CTCF	HCPE	spp.optimal.wgEncodeUwTfbsHcpeCtcfStdAlnRep0_VS_wgEncodeUwTfbsHcpeInputStdAlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390559	49390819	CTCF	HCPE	spp.optimal.wgEncodeUwTfbsHcpeCtcfStdAlnRep0_VS_wgEncodeUwTfbsHcpeInputStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299160	58299453	CTCF	HCPE	spp.optimal.wgEncodeUwTfbsHcpeCtcfStdAlnRep0_VS_wgEncodeUwTfbsHcpeInputStdAlnRep1.narrowPeak
chr17	959514	959514	chr17	959359	959588	CTCF	HCPE	spp.optimal.wgEncodeUwTfbsHcpeCtcfStdAlnRep0_VS_wgEncodeUwTfbsHcpeInputStdAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519210	74519487	CTCF	HCPE	spp.optimal.wgEncodeUwTfbsHcpeCtcfStdAlnRep0_VS_wgEncodeUwTfbsHcpeInputStdAlnRep1.narrowPeak
chr18	48188791	48188791	chr18	48188592	48188855	CTCF	HCPE	spp.optimal.wgEncodeUwTfbsHcpeCtcfStdAlnRep0_VS_wgEncodeUwTfbsHcpeInputStdAlnRep1.narrowPeak
chr19	495721	495721	chr19	495702	495944	CTCF	HCPE	spp.optimal.wgEncodeUwTfbsHcpeCtcfStdAlnRep0_VS_wgEncodeUwTfbsHcpeInputStdAlnRep1.narrowPeak
chr19	4941455	4941455	chr19	4941301	4941564	CTCF	HCPE	spp.optimal.wgEncodeUwTfbsHcpeCtcfStdAlnRep0_VS_wgEncodeUwTfbsHcpeInputStdAlnRep1.narrowPeak
