Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727720	7727869	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr1	95145452	95145452	chr1	95145340	95145489	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102315020	102315169	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr2	225434444	225434444	chr2	225434440	225434589	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr2	238227918	238227918	chr2	238227880	238228029	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238235020	238235169	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr3	122388463	122388463	chr3	122388340	122388489	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805560	137805709	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805560	137805709	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84139980	84140129	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140020	84140169	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr8	22849421	22849421	chr8	22849420	22849569	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr8	119017884	119017884	chr8	119017780	119017929	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr9	21674948	21674948	chr9	21674920	21675069	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290720	12290869	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290740	12290889	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729800	128729949	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729820	128729969	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390640	49390789	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390640	49390789	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299180	58299329	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr12	124983615	124983615	chr12	124983520	124983669	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr12	124983615	124983615	chr12	124983540	124983689	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr13	103374376	103374376	chr13	103374320	103374469	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr13	103374376	103374376	chr13	103374280	103374429	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155580	34155729	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155580	34155729	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463320	43463469	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463320	43463469	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250560	52250709	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250620	52250769	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr14	52326084	52326084	chr14	52326000	52326149	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr14	52326084	52326084	chr14	52326020	52326169	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr14	59922319	59922319	chr14	59922260	59922409	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr14	59922319	59922319	chr14	59922260	59922409	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr15	90964890	90964890	chr15	90964860	90965009	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr17	42754776	42754776	chr17	42754640	42754789	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr19	495721	495721	chr19	495700	495849	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
chr19	49621963	49621963	chr19	49621920	49622069	HCONF	HConF-DS11642.peaks.fdr0.01.hg19.bed
chr19	49621963	49621963	chr19	49621960	49622109	HCONF	HConF-DS11637.peaks.fdr0.01.hg19.bed
