Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727664	7727922	RAD21	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescRad21V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr1	7727853	7727853	chr1	7727670	7727906	RAD21	H1HESC	spp.optimal.wgEncodeSydhTfbsH1hescRad21IggrabAlnRep0_VS_wgEncodeSydhTfbsH1hescInputIggrabAln.narrowPeak
chr3	12857492	12857492	chr3	12857268	12857503	RAD21	H1HESC	spp.optimal.wgEncodeSydhTfbsH1hescRad21IggrabAlnRep0_VS_wgEncodeSydhTfbsH1hescInputIggrabAln.narrowPeak
chr3	37489414	37489414	chr3	37489343	37489530	RAD21	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescRad21V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr3	37489414	37489414	chr3	37489378	37489477	RAD21	H1HESC	spp.optimal.wgEncodeSydhTfbsH1hescRad21IggrabAlnRep0_VS_wgEncodeSydhTfbsH1hescInputIggrabAln.narrowPeak
chr3	52968725	52968725	chr3	52968717	52968952	RAD21	H1HESC	spp.optimal.wgEncodeSydhTfbsH1hescRad21IggrabAlnRep0_VS_wgEncodeSydhTfbsH1hescInputIggrabAln.narrowPeak
chr3	196019679	196019679	chr3	196019488	196019723	RAD21	H1HESC	spp.optimal.wgEncodeSydhTfbsH1hescRad21IggrabAlnRep0_VS_wgEncodeSydhTfbsH1hescInputIggrabAln.narrowPeak
chr3	196019679	196019679	chr3	196019489	196019718	RAD21	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescRad21V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr4	3454453	3454453	chr4	3454255	3454490	RAD21	H1HESC	spp.optimal.wgEncodeSydhTfbsH1hescRad21IggrabAlnRep0_VS_wgEncodeSydhTfbsH1hescInputIggrabAln.narrowPeak
chr9	1919538	1919538	chr9	1919303	1919538	RAD21	H1HESC	spp.optimal.wgEncodeSydhTfbsH1hescRad21IggrabAlnRep0_VS_wgEncodeSydhTfbsH1hescInputIggrabAln.narrowPeak
