Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr4	40196548	40196548	chr4	40196448	40196723	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr4	40196548	40196548	chr4	40196448	40196723	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2V0416102AlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr4	40196548	40196548	chr4	40196479	40196754	POL2	GM12892	spp.optimal.wgEncodeSydhTfbsGm12892Pol2IggmusAlnRep0_VS_wgEncodeSydhTfbsGm12892InputIggmusAlnRep0.narrowPeak
chr5	137805651	137805651	chr5	137804928	137806081	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr5	137805651	137805651	chr5	137804928	137806081	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2V0416102AlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr5	137805651	137805651	chr5	137804928	137806081	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr5	137805651	137805651	chr5	137804928	137806081	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2V0416102AlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr5	167913602	167913602	chr5	167913382	167913648	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr5	167913602	167913602	chr5	167913382	167913648	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2V0416102AlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr5	167913602	167913602	chr5	167913400	167913646	POL2	GM12892	spp.optimal.wgEncodeSydhTfbsGm12892Pol2IggmusAlnRep0_VS_wgEncodeSydhTfbsGm12892InputIggmusAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862205	170862474	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862205	170862474	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2V0416102AlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862225	170862467	POL2	GM12892	spp.optimal.wgEncodeSydhTfbsGm12892Pol2IggmusAlnRep0_VS_wgEncodeSydhTfbsGm12892InputIggmusAlnRep0.narrowPeak
chr7	150130751	150130751	chr7	150130724	150130999	POL2	GM12892	spp.optimal.wgEncodeSydhTfbsGm12892Pol2IggmusAlnRep0_VS_wgEncodeSydhTfbsGm12892InputIggmusAlnRep0.narrowPeak
chr7	150130751	150130751	chr7	150130747	150130924	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2V0416102AlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr7	150130751	150130751	chr7	150130747	150130924	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr8	135612744	135612744	chr8	135612526	135612801	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2V0416102AlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr8	135612744	135612744	chr8	135612526	135612801	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr8	135612744	135612744	chr8	135612538	135612813	POL2	GM12892	spp.optimal.wgEncodeSydhTfbsGm12892Pol2IggmusAlnRep0_VS_wgEncodeSydhTfbsGm12892InputIggmusAlnRep0.narrowPeak
chr9	115983539	115983539	chr9	115983365	115983640	POL2	GM12892	spp.optimal.wgEncodeSydhTfbsGm12892Pol2IggmusAlnRep0_VS_wgEncodeSydhTfbsGm12892InputIggmusAlnRep0.narrowPeak
chr13	111365588	111365588	chr13	111365487	111365797	POL2	GM12892	spp.optimal.wgEncodeSydhTfbsGm12892Pol2IggmusAlnRep0_VS_wgEncodeSydhTfbsGm12892InputIggmusAlnRep0.narrowPeak
chr13	111365588	111365588	chr13	111365489	111365815	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2V0416102AlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr13	111365588	111365588	chr13	111365489	111365815	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr17	33864706	33864706	chr17	33864588	33864863	POL2	GM12892	spp.optimal.wgEncodeSydhTfbsGm12892Pol2IggmusAlnRep0_VS_wgEncodeSydhTfbsGm12892InputIggmusAlnRep0.narrowPeak
chr17	33864706	33864706	chr17	33864629	33864810	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr17	33864706	33864706	chr17	33864629	33864810	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2V0416102AlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr19	49621963	49621963	chr19	49621884	49622006	POL2	GM12892	spp.optimal.wgEncodeSydhTfbsGm12892Pol2IggmusAlnRep0_VS_wgEncodeSydhTfbsGm12892InputIggmusAlnRep0.narrowPeak
chr19	49621963	49621963	chr19	49621948	49622037	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr19	49621963	49621963	chr19	49621948	49622037	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2V0416102AlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr22	18560569	18560569	chr22	18560380	18560610	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
chr22	18560569	18560569	chr22	18560380	18560610	POL2	GM12892	spp.optimal.wgEncodeHaibTfbsGm12892Pol2V0416102AlnRep0_VS_wgEncodeHaibTfbsGm12892ControlPcr1xAlnRep0.narrowPeak
