Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	89546802	89546802	chr1	89546736	89546914	PU1	GM12891	spp.optimal.wgEncodeHaibTfbsGm12891Pu1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak
chr2	129090108	129090108	chr2	129089903	129090132	PU1	GM12891	spp.optimal.wgEncodeHaibTfbsGm12891Pu1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak
chr5	115811219	115811219	chr5	115811183	115811412	PU1	GM12891	spp.optimal.wgEncodeHaibTfbsGm12891Pu1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak
chr5	159880355	159880355	chr5	159880245	159880474	PU1	GM12891	spp.optimal.wgEncodeHaibTfbsGm12891Pu1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak
chr6	6712344	6712344	chr6	6712192	6712421	PU1	GM12891	spp.optimal.wgEncodeHaibTfbsGm12891Pu1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak
chr7	130009352	130009352	chr7	130009260	130009489	PU1	GM12891	spp.optimal.wgEncodeHaibTfbsGm12891Pu1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak
chr7	150130751	150130751	chr7	150130678	150130907	PU1	GM12891	spp.optimal.wgEncodeHaibTfbsGm12891Pu1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak
chr9	115983539	115983539	chr9	115983420	115983649	PU1	GM12891	spp.optimal.wgEncodeHaibTfbsGm12891Pu1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak
chr12	49390676	49390676	chr12	49390510	49390739	PU1	GM12891	spp.optimal.wgEncodeHaibTfbsGm12891Pu1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak
chr22	18560569	18560569	chr22	18560544	18560621	PU1	GM12891	spp.optimal.wgEncodeHaibTfbsGm12891Pu1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12891ControlPcr1xAlnRep0.narrowPeak
