Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr1	202075668	202075668	HAE2F1_MCF7	202075435	202075884	NR_037663	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	HAE2F1_MCF7	202075435	202075884	NR_037664	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	HAE2F1_MCF7	202075435	202075884	NM_001199797	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	HAE2F1_MCF7	202075435	202075884	NM_080588	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	HAE2F1_MCF7	202075435	202075884	NM_002832	202016140	202106139	3D	PTPN7	5778	hsa04010
chr2	102315056	102315056	HAE2F1_MCF7	102314769	102315218	NM_145687	102315000	102407180	INTRON2	MAP4K4	9448	hsa04010
chr2	102315056	102315056	HAE2F1_MCF7	102314769	102315218	NM_001242560	102315000	102407180	INTRON2	MAP4K4	9448	hsa04010
chr2	102315056	102315056	HAE2F1_MCF7	102314769	102315218	NM_145686	102315000	102407180	INTRON2	MAP4K4	9448	hsa04010
chr2	102315056	102315056	HAE2F1_MCF7	102314769	102315218	NM_004834	102315000	102407180	INTRON2	MAP4K4	9448	hsa04010
chr2	102315056	102315056	HAE2F1_MCF7	102314769	102315218	NM_001242559	102315000	102407180	INTRON2	MAP4K4	9448	hsa04010
