Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr5	137805651	137805651	POL2_HEPG2	137804937	137806462	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr5	137805651	137805651	POL2_HEPG2	137804937	137806462	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr5	137805651	137805651	POL2_HEPG2	137804937	137806462	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr5	137805651	137805651	POL2_HEPG2	137804937	137806462	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr5	137805651	137805651	POL2_HEPG2	137805337	137806048	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr5	137805651	137805651	POL2_HEPG2	137805337	137806048	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr6	170862335	170862335	POL2_HEPG2	170862185	170862500	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_HEPG2	170862185	170862500	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_HEPG2	170862191	170862477	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_HEPG2	170862191	170862477	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_HEPG2	170862193	170862479	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_HEPG2	170862193	170862479	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_HEPG2	170862229	170862464	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_HEPG2	170862229	170862464	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_HEPG2	170862232	170862455	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_HEPG2	170862232	170862455	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
