Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36789335	36789554	POL2	K562	spp.optimal.wgEncodeOpenChromChipK562Pol2AlnRep0_VS_wgEncodeOpenChromChipK562InputAln.narrowPeak
chr1	113242121	113242121	chr1	113242091	113242340	POL2	K562	spp.optimal.wgEncodeHaibTfbsK562Pol2V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr4	40196548	40196548	chr4	40196318	40196567	POL2	K562	spp.optimal.wgEncodeHaibTfbsK562Pol2V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr4	40196548	40196548	chr4	40196362	40196661	POL2	K562	spp.optimal.wgEncodeSydhTfbsK562Pol2Ifna30StdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfna30StdAlnRep1.narrowPeak
chr5	137802403	137802403	chr5	137801037	137802478	POL2	K562	spp.optimal.wgEncodeSydhTfbsK562Pol2StdAlnRep0_VS_wgEncodeSydhTfbsK562InputStdAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801037	137802478	POL2	K562	spp.optimal.wgEncodeSydhTfbsK562Pol2StdAlnRep0_VS_wgEncodeSydhTfbsK562InputStdAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801037	137802478	POL2	K562	spp.optimal.wgEncodeSydhTfbsK562Pol2StdAlnRep0_VS_wgEncodeSydhTfbsK562InputStdAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801037	137802483	POL2	K562	spp.optimal.wgEncodeSydhTfbsK562Pol2StdAlnRep0_VS_wgEncodeSydhTfbsK562InputStdAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137802263	137802433	POL2	K562	spp.optimal.wgEncodeOpenChromChipK562Pol2AlnRep0_VS_wgEncodeOpenChromChipK562InputAln.narrowPeak
chr5	137805651	137805651	chr5	137804918	137805931	POL2	K562	spp.optimal.wgEncodeSydhTfbsK562Pol2StdAlnRep0_VS_wgEncodeSydhTfbsK562InputStdAlnRep0.narrowPeak
chr5	137805651	137805651	chr5	137804918	137805931	POL2	K562	spp.optimal.wgEncodeSydhTfbsK562Pol2StdAlnRep0_VS_wgEncodeSydhTfbsK562InputStdAlnRep0.narrowPeak
chr5	137805651	137805651	chr5	137804968	137806094	POL2	K562	spp.optimal.wgEncodeOpenChromChipK562Pol2AlnRep0_VS_wgEncodeOpenChromChipK562InputAln.narrowPeak
chr5	137805651	137805651	chr5	137804968	137806094	POL2	K562	spp.optimal.wgEncodeOpenChromChipK562Pol2AlnRep0_VS_wgEncodeOpenChromChipK562InputAln.narrowPeak
chr5	167913602	167913602	chr5	167913392	167913657	POL2	K562	spp.optimal.wgEncodeSydhTfbsK562Pol2Ifng6hStdAlnRep0_VS_wgEncodeSydhTfbsK562InputIfng6hStdAlnRep1.narrowPeak
chr5	167913602	167913602	chr5	167913394	167913630	POL2	K562	spp.optimal.wgEncodeOpenChromChipK562Pol2AlnRep0_VS_wgEncodeOpenChromChipK562InputAln.narrowPeak
