Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr1	202075668	202075668	POL24H8_HCT116	202075502	202075765	NR_037663	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	POL24H8_HCT116	202075502	202075765	NR_037664	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	POL24H8_HCT116	202075502	202075765	NM_001199797	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	POL24H8_HCT116	202075502	202075765	NM_080588	202016140	202106139	3D	PTPN7	5778	hsa04010
chr1	202075668	202075668	POL24H8_HCT116	202075502	202075765	NM_002832	202016140	202106139	3D	PTPN7	5778	hsa04010
chr19	49621963	49621963	POL24H8_GM12878	49621860	49622088	NM_006179	49577124	49667123	5D	NTF4	4909	hsa04010
chr19	49621963	49621963	POL24H8_GM12892	49621839	49622114	NM_006179	49577124	49667123	5D	NTF4	4909	hsa04010
chr19	49621963	49621963	POL24H8_GM12892	49621839	49622114	NM_006179	49577124	49667123	5D	NTF4	4909	hsa04010
chr19	49621963	49621963	POL24H8_K562	49621852	49622095	NM_006179	49577124	49667123	5D	NTF4	4909	hsa04010
chr19	49621963	49621963	POL24H8_K562	49621924	49622036	NM_006179	49577124	49667123	5D	NTF4	4909	hsa04010
chr19	49621963	49621963	POL24H8_HCT116	49621923	49622056	NM_006179	49577124	49667123	5D	NTF4	4909	hsa04010
