Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr20	50213721	50213721	CTCF_MCF7	50213676	50213855	NM_001258296	50169258	50259257	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213676	50213855	NM_012340	50169258	50259257	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213676	50213855	NM_001258297	50169258	50259257	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213676	50213855	NM_173091	50169258	50259257	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213676	50213855	NM_001258295	50189370	50279369	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213676	50213855	NM_001258292	50189370	50279369	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213676	50213855	NM_001258294	50189370	50279369	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213676	50213855	NM_001136021	50189370	50279369	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213665	50213860	NM_001258296	50169258	50259257	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213665	50213860	NM_012340	50169258	50259257	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213665	50213860	NM_001258297	50169258	50259257	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213665	50213860	NM_173091	50169258	50259257	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213665	50213860	NM_001258295	50189370	50279369	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213665	50213860	NM_001258292	50189370	50279369	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213665	50213860	NM_001258294	50189370	50279369	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213665	50213860	NM_001136021	50189370	50279369	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213670	50213889	NM_001258296	50169258	50259257	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213670	50213889	NM_012340	50169258	50259257	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213670	50213889	NM_001258297	50169258	50259257	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213670	50213889	NM_173091	50169258	50259257	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213670	50213889	NM_001258295	50189370	50279369	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213670	50213889	NM_001258292	50189370	50279369	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213670	50213889	NM_001258294	50189370	50279369	5D	NFATC2	4773	hsa04380
chr20	50213721	50213721	CTCF_MCF7	50213670	50213889	NM_001136021	50189370	50279369	5D	NFATC2	4773	hsa04380
