Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HMVEC_LLY	HMVEC_LLy-DS13193.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727720	7727869	HMVEC_LLY	HMVEC_LLy-DS13185.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HMVEC_LLY	HMVEC_LLy-DS13185.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HMVEC_LLY	HMVEC_LLy-DS13193.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314920	102315069	HMVEC_LLY	HMVEC_LLy-DS13185.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224260	238224409	HMVEC_LLY	HMVEC_LLy-DS13193.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238234940	238235089	HMVEC_LLY	HMVEC_LLy-DS13185.peaks.fdr0.01.hg19.bed
chr3	37969438	37969438	chr3	37969400	37969549	HMVEC_LLY	HMVEC_LLy-DS13193.peaks.fdr0.01.hg19.bed
chr3	37969438	37969438	chr3	37969400	37969549	HMVEC_LLY	HMVEC_LLy-DS13185.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352840	99352989	HMVEC_LLY	HMVEC_LLy-DS13185.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352860	99353009	HMVEC_LLY	HMVEC_LLy-DS13193.peaks.fdr0.01.hg19.bed
chr3	196019679	196019679	chr3	196019560	196019709	HMVEC_LLY	HMVEC_LLy-DS13185.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140020	84140169	HMVEC_LLY	HMVEC_LLy-DS13185.peaks.fdr0.01.hg19.bed
chr6	164463354	164463354	chr6	164463260	164463409	HMVEC_LLY	HMVEC_LLy-DS13193.peaks.fdr0.01.hg19.bed
chr6	164463354	164463354	chr6	164463280	164463429	HMVEC_LLY	HMVEC_LLy-DS13185.peaks.fdr0.01.hg19.bed
