Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	BRG1_K562	12997063	12997406	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	BRG1_K562	12997063	12997406	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	BRG1_K562	12997063	12997406	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	BRG1_K562	12997063	12997406	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	BRG1_K562	12998276	12998619	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	BRG1_K562	12998276	12998619	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	BRG1_K562	12998276	12998619	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	BRG1_K562	12998276	12998619	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa01100
chrX	55041618	55041619	BRG1_K562	55041361	55041704	NM_000032	55041448	55042009	INTRON3	ALAS2	212	hsa01100
chrX	55041618	55041619	BRG1_K562	55041361	55041704	NM_001037967	55041448	55042009	INTRON3	ALAS2	212	hsa01100
chrX	55041618	55041619	BRG1_K562	55041361	55041704	NM_001037968	55041448	55042009	INTRON3	ALAS2	212	hsa01100
