Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr5	137802403	137802403	POL2_H1HESC	137800998	137804739	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_H1HESC	137800998	137804739	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_H1HESC	137800998	137804739	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_H1HESC	137800998	137804739	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_H1HESC	137800998	137804739	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_H1HESC	137800998	137804739	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_H1HESC	137800998	137804739	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_H1HESC	137800998	137804739	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_H1HESC	137800998	137804739	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_H1HESC	137800998	137804739	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_H1HESC	137800998	137804739	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_H1HESC	137800998	137804739	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_H1HESC	137800998	137804739	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_H1HESC	137800998	137804739	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_H1HESC	137800998	137804739	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_H1HESC	137800998	137804739	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137805651	137805651	POL2_H1HESC	137804740	137807078	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr5	137805651	137805651	POL2_H1HESC	137804740	137807078	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr5	137805651	137805651	POL2_H1HESC	137804740	137807078	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr5	137805651	137805651	POL2_H1HESC	137804740	137807078	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr5	137805651	137805651	POL2_H1HESC	137804740	137807078	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr5	137805651	137805651	POL2_H1HESC	137804740	137807078	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr6	170862335	170862335	POL2_H1HESC	170862147	170862498	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_H1HESC	170862147	170862498	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_H1HESC	170862147	170862498	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_H1HESC	170862147	170862498	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
