Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727740	7727889	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314960	102315109	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102315000	102315149	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063720	221063869	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr2	230039816	230039816	chr2	230039680	230039829	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224280	238224429	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224280	238224429	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238235060	238235209	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238235080	238235229	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462980	4463129	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr3	52968725	52968725	chr3	52968720	52968869	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr3	122388463	122388463	chr3	122388340	122388489	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196480	40196629	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941060	57941209	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr4	148974601	148974601	chr4	148974520	148974669	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr4	148974601	148974601	chr4	148974520	148974669	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr4	185400747	185400747	chr4	185400740	185400889	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr4	185400747	185400747	chr4	185400740	185400889	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767120	70767269	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805540	137805689	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356320	119356469	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr9	14199421	14199421	chr9	14199280	14199429	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr11	35161075	35161075	chr11	35161060	35161209	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729800	128729949	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729800	128729949	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390600	49390749	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr12	124983615	124983615	chr12	124983480	124983629	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr12	124983615	124983615	chr12	124983540	124983689	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr13	45595546	45595546	chr13	45595460	45595609	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr13	45595546	45595546	chr13	45595460	45595609	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155580	34155729	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155660	34155809	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463300	43463449	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463300	43463449	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250600	52250749	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250640	52250789	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr14	52326084	52326084	chr14	52325960	52326109	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr17	959514	959514	chr17	959380	959529	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr17	959514	959514	chr17	959380	959529	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr17	42754776	42754776	chr17	42754640	42754789	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr17	42754776	42754776	chr17	42754640	42754789	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519300	74519449	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519300	74519449	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	HPF	HPF-DS13390.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	HPF	HPF-DS13380.peaks.fdr0.01.hg19.bed
