Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	3197746	3197746	chr1	3197178	3197798	GM19238	GM19238DukeDNaseSeq.pk
chr1	7727853	7727853	chr1	7727364	7728586	GM19238	GM19238DukeDNaseSeq.pk
chr1	21927847	21927847	chr1	21927747	21927893	GM19238	GM19238DukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36788129	36790332	GM19238	GM19238DukeDNaseSeq.pk
chr1	40426921	40426921	chr1	40425820	40426959	GM19238	GM19238DukeDNaseSeq.pk
chr1	183188061	183188061	chr1	183188024	183188254	GM19238	GM19238DukeDNaseSeq.pk
chr3	44380487	44380487	chr3	44379404	44380567	GM19238	GM19238DukeDNaseSeq.pk
chr3	52968725	52968725	chr3	52968642	52969026	GM19238	GM19238DukeDNaseSeq.pk
chr3	58165232	58165232	chr3	58165115	58165242	GM19238	GM19238DukeDNaseSeq.pk
chr3	126265705	126265705	chr3	126265497	126266031	GM19238	GM19238DukeDNaseSeq.pk
chr4	3454453	3454453	chr4	3454329	3454464	GM19238	GM19238DukeDNaseSeq.pk
chr5	146193490	146193490	chr5	146193421	146193562	GM19238	GM19238DukeDNaseSeq.pk
chr5	167913602	167913602	chr5	167913170	167914022	GM19238	GM19238DukeDNaseSeq.pk
chr5	173738576	173738576	chr5	173738430	173739637	GM19238	GM19238DukeDNaseSeq.pk
chr5	179564140	179564140	chr5	179564058	179564188	GM19238	GM19238DukeDNaseSeq.pk
chr6	183916	183916	chr6	183765	183922	GM19238	GM19238DukeDNaseSeq.pk
chr6	6712344	6712344	chr6	6711995	6713648	GM19238	GM19238DukeDNaseSeq.pk
chr6	16332729	16332729	chr6	16332221	16332745	GM19238	GM19238DukeDNaseSeq.pk
chr6	31107086	31107086	chr6	31106874	31107161	GM19238	GM19238DukeDNaseSeq.pk
chr6	160210060	160210060	chr6	160209809	160210071	GM19238	GM19238DukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170862049	170862583	GM19238	GM19238DukeDNaseSeq.pk
chr7	150130751	150130751	chr7	150130159	150131126	GM19238	GM19238DukeDNaseSeq.pk
chr7	155257893	155257893	chr7	155257578	155258584	GM19238	GM19238DukeDNaseSeq.pk
