Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36788406	36790143	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr1	40426921	40426921	chr1	40425972	40426962	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246557	113250754	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr1	172673321	172673321	chr1	172673086	172674478	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr1	183188061	183188061	chr1	183187720	183188852	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr1	230238820	230238820	chr1	230238399	230241130	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312949	102317361	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153572032	153576834	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378602	44381932	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr4	40196548	40196548	chr4	40191312	40208057	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88310489	88313234	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170580499	170582592	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167912844	167915296	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr6	6712344	6712344	chr6	6711556	6713683	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160208312	160213544	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170860331	170865401	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433265	26437657	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr8	38821326	38821326	chr8	38819863	38821549	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115981657	115985378	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr10	63519673	63519673	chr10	63518806	63526324	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr10	63524978	63524978	chr10	63518806	63526324	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr11	47600437	47600437	chr11	47599234	47602460	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr11	69526787	69526787	chr11	69526490	69527937	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
chr11	118231583	118231583	chr11	118229545	118231751	H3K4ME3	JURKAT	wgEncodeUwHistoneJurkatH3k4me3StdAln.narrowPeak
