Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727720	7727869	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680260	42680409	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314960	102315109	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr2	127472031	127472031	chr2	127471920	127472069	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr2	127472031	127472031	chr2	127471920	127472069	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462980	4463129	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462980	4463129	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr3	17792117	17792117	chr3	17792080	17792229	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr3	141668452	141668452	chr3	141668420	141668569	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr3	148466362	148466362	chr3	148466240	148466389	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr3	148466362	148466362	chr3	148466280	148466429	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822760	137822909	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822820	137822969	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr5	146193490	146193490	chr5	146193460	146193609	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr5	146193490	146193490	chr5	146193460	146193609	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr6	6712344	6712344	chr6	6712260	6712409	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr6	6712344	6712344	chr6	6712260	6712409	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr6	8855947	8855947	chr6	8855820	8855969	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr6	8855947	8855947	chr6	8855820	8855969	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr6	170862335	170862335	chr6	170862320	170862469	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr6	170862335	170862335	chr6	170862320	170862469	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr8	50367927	50367927	chr8	50367920	50368069	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr10	80509969	80509969	chr10	80509820	80509969	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr10	80509969	80509969	chr10	80509840	80509989	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr10	114715688	114715688	chr10	114715680	114715829	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729840	128729989	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729840	128729989	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390600	49390749	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390600	49390749	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299240	58299389	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250620	52250769	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr14	52326084	52326084	chr14	52326000	52326149	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr14	52326084	52326084	chr14	52325980	52326129	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr15	90925720	90925720	chr15	90925580	90925729	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr15	90925720	90925720	chr15	90925600	90925749	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr16	19196303	19196303	chr16	19196300	19196449	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr16	19196303	19196303	chr16	19196240	19196389	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr17	959514	959514	chr17	959440	959589	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519260	74519409	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr18	3656606	3656606	chr18	3656460	3656609	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr18	48188791	48188791	chr18	48188660	48188809	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr19	495721	495721	chr19	495700	495849	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr19	495721	495721	chr19	495700	495849	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr19	1847697	1847697	chr19	1847680	1847829	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769640	4769789	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr19	49621963	49621963	chr19	49621960	49622109	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
chr21	38539118	38539118	chr21	38539040	38539189	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr22	38158740	38158740	chr22	38158620	38158769	HL60	HL60-DS11733.peaks.fdr0.01.hg19.bed
chr22	38158740	38158740	chr22	38158620	38158769	HL60	HL60-DS11809.peaks.fdr0.01.hg19.bed
