Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	172324929	172324929	chr1	172324644	172324953	TBP	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878TbpIggmusAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak
chr3	44380487	44380487	chr3	44380204	44380513	TBP	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878TbpIggmusAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak
chr4	40196548	40196548	chr4	40196530	40196839	TBP	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878TbpIggmusAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862258	170862567	TBP	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878TbpIggmusAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak
chr7	150130751	150130751	chr7	150130669	150130978	TBP	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878TbpIggmusAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak
chr11	47600437	47600437	chr11	47600388	47600697	TBP	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878TbpIggmusAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak
chr13	111365588	111365588	chr13	111365462	111365705	TBP	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878TbpIggmusAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak
chr17	33864706	33864706	chr17	33864638	33864947	TBP	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878TbpIggmusAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak
chr19	49621963	49621963	chr19	49621816	49622125	TBP	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878TbpIggmusAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak
chr22	18560569	18560569	chr22	18560372	18560681	TBP	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878TbpIggmusAlnRep0_VS_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak
