Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr4	40196548	40196548	chr4	40196301	40196791	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801036	137804765	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801036	137804765	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801036	137804765	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801036	137804765	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801036	137804765	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr5	137802403	137802403	chr5	137801036	137804765	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr5	137805651	137805651	chr5	137804792	137806197	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr5	137805651	137805651	chr5	137804792	137806197	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr5	167913602	167913602	chr5	167913373	167913657	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862170	170862494	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr7	150130751	150130751	chr7	150130729	150131006	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr8	135612744	135612744	chr8	135612500	135612816	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr9	115983539	115983539	chr9	115983416	115983562	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr10	82282750	82282750	chr10	82282700	82282983	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr13	111365588	111365588	chr13	111365462	111365946	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr17	33864706	33864706	chr17	33864612	33864812	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr19	49621963	49621963	chr19	49621860	49622088	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chr22	18560569	18560569	chr22	18560368	18560655	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
chrX	41212320	41212320	chrX	41212076	41212359	POL24H8	GM12878	spp.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_VS_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak
