Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr11	128729844	128729844	CTCF_GM12878	128729834	128730033	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_GM12878	128729834	128730033	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_GM12878	128729834	128730033	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_GM12878	128729834	128730033	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HEPG2	128729785	128730068	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HEPG2	128729785	128730068	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HEPG2	128729785	128730068	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HEPG2	128729785	128730068	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_OSTEOBL	128729740	128730137	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_OSTEOBL	128729740	128730137	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_OSTEOBL	128729740	128730137	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_OSTEOBL	128729740	128730137	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HUVEC	128729761	128730150	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HUVEC	128729761	128730150	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HUVEC	128729761	128730150	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HUVEC	128729761	128730150	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_K562	128729776	128730078	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_K562	128729776	128730078	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_K562	128729776	128730078	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_K562	128729776	128730078	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_GM06990	128729784	128730071	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_GM06990	128729784	128730071	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_GM06990	128729784	128730071	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_GM06990	128729784	128730071	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HELAS3	128729804	128730058	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HELAS3	128729804	128730058	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HELAS3	128729804	128730058	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HELAS3	128729804	128730058	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HSMMT	128729791	128730060	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HSMMT	128729791	128730060	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HSMMT	128729791	128730060	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HSMMT	128729791	128730060	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_AG09309	128729796	128730051	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_AG09309	128729796	128730051	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_AG09309	128729796	128730051	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_AG09309	128729796	128730051	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_SAEC	128729794	128730071	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_SAEC	128729794	128730071	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_SAEC	128729794	128730071	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_SAEC	128729794	128730071	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HRE	128729797	128730074	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HRE	128729797	128730074	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HRE	128729797	128730074	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HRE	128729797	128730074	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_NHEK	128729797	128730058	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_NHEK	128729797	128730058	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_NHEK	128729797	128730058	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_NHEK	128729797	128730058	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HBMEC	128729799	128730077	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HBMEC	128729799	128730077	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HBMEC	128729799	128730077	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HBMEC	128729799	128730077	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HUVEC	128729802	128730081	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HUVEC	128729802	128730081	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HUVEC	128729802	128730081	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HUVEC	128729802	128730081	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HMEC	128729804	128730053	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HMEC	128729804	128730053	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HMEC	128729804	128730053	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HMEC	128729804	128730053	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_AG10803	128729807	128730050	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_AG10803	128729807	128730050	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_AG10803	128729807	128730050	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_AG10803	128729807	128730050	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_GM12864	128729814	128730047	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_GM12864	128729814	128730047	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_GM12864	128729814	128730047	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_GM12864	128729814	128730047	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_GM12865	128729811	128730050	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_GM12865	128729811	128730050	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_GM12865	128729811	128730050	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_GM12865	128729811	128730050	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HCPE	128729810	128730048	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HCPE	128729810	128730048	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HCPE	128729810	128730048	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04971
chr11	128729844	128729844	CTCF_HCPE	128729810	128730048	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04971
