Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36786011	36790018	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246226	113250873	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr1	223960535	223960535	chr1	223958235	223961069	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312562	102318180	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr2	179198192	179198192	chr2	179195067	179198194	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr2	225434444	225434444	chr2	225432367	225435825	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378508	44382097	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr3	155743406	155743406	chr3	155742460	155743582	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88311011	88313615	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170579971	170582782	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137798874	137806092	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr5	137805651	137805651	chr5	137798874	137806092	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167912975	167915302	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr6	6712344	6712344	chr6	6711738	6714359	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr6	26103176	26103176	chr6	26102940	26105349	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr6	46457835	46457835	chr6	46457237	46460364	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr6	52436647	52436647	chr6	52434879	52437092	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84138766	84141754	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160208478	160212967	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170858830	170864995	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr7	77044447	77044447	chr7	77044208	77046831	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr7	130012956	130012956	chr7	130010875	130014802	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433695	26438129	H3K4ME3	HSMMT	wgEncodeBroadHistoneHsmmtH3k4me3StdAln.narrowPeak
