Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727349	7730864	K562	idrPool.K562_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_K562_B1_peaks_VS_DukeDNase_K562_B2_peaks.npk2.narrowPeak
chr1	7727853	7727853	chr1	7727454	7728320	K562	K562DukeDNaseSeq.pk
chr1	7727853	7727853	chr1	7727586	7727903	K562	idrPool.K562_FAIRE_BP_TP_peaks_OV_K562_B2_peaks_VS_UncFAIRE_K562_B3_peaks.npk2.narrowPeak
chr1	21927847	21927847	chr1	21927697	21927964	K562	K562DukeDNaseSeq.pk
chr1	22224101	22224101	chr1	22223071	22224250	K562	K562DukeDNaseSeq.pk
chr1	22224101	22224101	chr1	22222992	22224349	K562	idrPool.K562_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_K562_B1_peaks_VS_DukeDNase_K562_B2_peaks.npk2.narrowPeak
chr1	22224101	22224101	chr1	22223697	22224242	K562	idrPool.K562-DS9764-DS9767.z_OV_K562-DS9764.z_VS_K562-DS9767.z.npk2.narrowPeak
chr1	36789545	36789545	chr1	36788429	36790132	K562	idrPool.K562_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_K562_B1_peaks_VS_DukeDNase_K562_B2_peaks.npk2.narrowPeak
chr1	36789545	36789545	chr1	36788552	36789885	K562	K562DukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36789158	36789887	K562	idrPool.K562-DS9764-DS9767.z_OV_K562-DS9764.z_VS_K562-DS9767.z.npk2.narrowPeak
chr1	40426921	40426921	chr1	40426873	40427003	K562	K562DukeDNaseSeq.pk
chr1	113056989	113056989	chr1	113056920	113057069	K562	K562-DS9767.peaks.fdr0.01.hg19.bed
chr1	113056989	113056989	chr1	113056940	113057089	K562	K562-DS9764.peaks.fdr0.01.hg19.bed
chr1	184002331	184002331	chr1	184002300	184002449	K562	K562-DS9764.peaks.fdr0.01.hg19.bed
chr1	184002331	184002331	chr1	184002135	184002484	K562	idrPool.K562-DS9764-DS9767.z_OV_K562-DS9764.z_VS_K562-DS9767.z.npk2.narrowPeak
chr1	202075668	202075668	chr1	202074854	202075806	K562	K562DukeDNaseSeq.pk
chr1	202075668	202075668	chr1	202074808	202075903	K562	idrPool.K562_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_K562_B1_peaks_VS_DukeDNase_K562_B2_peaks.npk2.narrowPeak
chr1	202075668	202075668	chr1	202075301	202075848	K562	idrPool.K562-DS9764-DS9767.z_OV_K562-DS9764.z_VS_K562-DS9767.z.npk2.narrowPeak
chr1	204940971	204940971	chr1	204940877	204941785	K562	idrPool.K562_DNaseHS_BP_TP_P_peaks_OV_DukeDNase_K562_B1_peaks_VS_DukeDNase_K562_B2_peaks.npk2.narrowPeak
chr2	5578211	5578211	chr2	5578206	5578439	K562	K562DukeDNaseSeq.pk
chr2	60838155	60838155	chr2	60838100	60838211	K562	K562DukeDNaseSeq.pk
