Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	42680326	42680326	chr1	42680243	42680526	P300	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2P300V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr1	42680326	42680326	chr1	42680253	42680502	P300	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2P300Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr3	32333669	32333669	chr3	32333647	32333930	P300	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2P300V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862255	170862538	P300	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2P300V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr8	119356465	119356465	chr8	119356258	119356507	P300	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2P300Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr16	1481019	1481019	chr16	1480865	1481148	P300	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2P300V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr17	13956666	13956666	chr17	13956655	13956938	P300	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2P300V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr17	41046439	41046439	chr17	41046329	41046685	P300	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2P300V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr17	41046439	41046439	chr17	41046354	41046574	P300	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2P300Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr17	56472118	56472118	chr17	56471952	56472351	P300	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2P300V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr17	56472118	56472118	chr17	56472012	56472261	P300	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2P300Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr19	4769739	4769739	chr19	4769586	4769835	P300	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2P300Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
chr21	42694666	42694666	chr21	42694470	42694785	P300	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2P300V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr21	42694666	42694666	chr21	42694633	42694728	P300	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2P300Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak
