Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	CTCF_HEPG2	12996296	12996579	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996296	12996579	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996296	12996579	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996296	12996579	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996296	12996579	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996345	12996554	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996345	12996554	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996345	12996554	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996345	12996554	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996345	12996554	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996379	12996548	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996379	12996548	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996379	12996548	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996379	12996548	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996379	12996548	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996387	12996526	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996387	12996526	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996387	12996526	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996387	12996526	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCF_HEPG2	12996387	12996526	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
