Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	22224101	22224101	chr1	22219550	22263832	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr1	36789545	36789545	chr1	36787103	36790267	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr1	53515100	53515100	chr1	53511943	53516790	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr1	113242121	113242121	chr1	113240741	113250890	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr1	113248364	113248364	chr1	113240741	113250890	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr1	172353470	172353470	chr1	172349107	172353634	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr1	183241261	183241261	chr1	183240943	183242662	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr1	204940971	204940971	chr1	204939994	204942815	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr1	223960535	223960535	chr1	223956424	223965817	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr2	102315056	102315056	chr2	102312986	102317925	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr2	159926848	159926848	chr2	159925220	159935253	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr2	169853632	169853632	chr2	169847646	169860876	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr2	219497927	219497927	chr2	219494818	219499419	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr2	238635136	238635136	chr2	238633458	238636791	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr3	19931169	19931169	chr3	19929656	19931948	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr3	31135968	31135968	chr3	31133570	31136112	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr3	31950589	31950589	chr3	31949241	31950793	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr3	44380487	44380487	chr3	44378875	44382035	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr3	99352911	99352911	chr3	99352188	99354895	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr3	188228689	188228689	chr3	188227673	188228903	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr4	76923997	76923997	chr4	76922657	76924433	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr4	89789477	89789477	chr4	89784658	89789601	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr4	170580817	170580817	chr4	170579402	170587079	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr5	55422680	55422680	chr5	55417550	55424475	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr5	58533391	58533391	chr5	58531921	58534176	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr5	58583212	58583212	chr5	58582376	58586060	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr5	70767268	70767268	chr5	70766411	70768016	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr5	92528308	92528308	chr5	92526628	92530003	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr5	92586990	92586990	chr5	92584426	92587749	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr5	159880355	159880355	chr5	159875574	159881308	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr6	7735787	7735787	chr6	7725463	7741338	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr6	22322003	22322003	chr6	22320116	22322007	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr6	26103176	26103176	chr6	26102426	26105024	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr6	52436647	52436647	chr6	52430613	52443434	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr6	84140037	84140037	chr6	84139357	84142050	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr6	130069290	130069290	chr6	130069073	130073704	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr6	130071840	130071840	chr6	130069073	130073704	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr6	130073290	130073290	chr6	130069073	130073704	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr6	136359445	136359445	chr6	136355016	136362326	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr6	148386996	148386996	chr6	148384535	148387356	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr6	152212507	152212507	chr6	152211372	152214229	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr6	160210060	160210060	chr6	160207369	160213366	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
chr6	170862335	170862335	chr6	170859976	170865067	H3K27AC	HUVEC	wgEncodeBroadHistoneHuvecH3k27acStdAln.narrowPeak
