Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36785547	36790368	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246834	113250822	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312728	102318201	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr3	19931169	19931169	chr3	19930230	19931302	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378845	44381959	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr4	40196548	40196548	chr4	40196131	40196838	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88310400	88313398	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170579867	170582944	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137799059	137804729	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167913017	167915225	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr5	173738576	173738576	chr5	173738568	173739541	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr6	52436647	52436647	chr6	52436026	52443131	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84139013	84141812	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr6	136359445	136359445	chr6	136356994	136363407	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160208734	160213469	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170860542	170865287	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr7	77044447	77044447	chr7	77044332	77046482	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433406	26439228	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115981864	115987004	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr10	13341377	13341377	chr10	13340847	13343270	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr10	114715688	114715688	chr10	114708593	114716279	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr11	35161075	35161075	chr11	35159791	35163600	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr11	47600437	47600437	chr11	47598976	47602194	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr11	118231583	118231583	chr11	118229670	118231897	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr12	49390676	49390676	chr12	49390501	49391605	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr12	58299249	58299249	chr12	58298797	58299398	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
chr13	111365588	111365588	chr13	111363488	111370958	H3K4ME3	HCPE	wgEncodeUwHistoneHcpeH3k4me3StdAln.narrowPeak
