Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	EGR1_K562	12996029	12996244	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	EGR1_K562	12996029	12996244	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EGR1_K562	12996029	12996244	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EGR1_K562	12996029	12996244	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EGR1_K562	12996029	12996244	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EGR1_K562	12997066	12997281	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	EGR1_K562	12997066	12997281	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EGR1_K562	12997066	12997281	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EGR1_K562	12997066	12997281	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EGR1_K562	12997066	12997281	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EGR1_K562	12997455	12997670	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	EGR1_K562	12997455	12997670	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EGR1_K562	12997455	12997670	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EGR1_K562	12997455	12997670	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	EGR1_K562	12997455	12997670	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
