Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	22224101	22224101	chr1	22222771	22224941	H2AZ	K562	wgEncodeBroadHistoneK562H2azStdAln.narrowPeak
chr1	31387329	31387329	chr1	31384635	31388992	H2AZ	K562	wgEncodeBroadHistoneK562H2azStdAln.narrowPeak
chr1	36789545	36789545	chr1	36788336	36790576	H2AZ	K562	wgEncodeBroadHistoneK562H2azStdAln.narrowPeak
chr1	113248364	113248364	chr1	113246914	113251568	H2AZ	K562	wgEncodeBroadHistoneK562H2azStdAln.narrowPeak
chr1	195854037	195854037	chr1	195851686	195856414	H2AZ	K562	wgEncodeBroadHistoneK562H2azStdAln.narrowPeak
chr1	195934149	195934149	chr1	195933640	195935895	H2AZ	K562	wgEncodeBroadHistoneK562H2azStdAln.narrowPeak
chr1	202075668	202075668	chr1	202074305	202076303	H2AZ	K562	wgEncodeBroadHistoneK562H2azStdAln.narrowPeak
chr1	207631204	207631204	chr1	207625792	207632588	H2AZ	K562	wgEncodeBroadHistoneK562H2azStdAln.narrowPeak
chr1	223960535	223960535	chr1	223958524	223961015	H2AZ	K562	wgEncodeBroadHistoneK562H2azStdAln.narrowPeak
chr1	233771246	233771246	chr1	233770043	233772794	H2AZ	K562	wgEncodeBroadHistoneK562H2azStdAln.narrowPeak
chr2	12237418	12237418	chr2	12237057	12239105	H2AZ	K562	wgEncodeBroadHistoneK562H2azStdAln.narrowPeak
chr2	17306652	17306652	chr2	17301255	17311225	H2AZ	K562	wgEncodeBroadHistoneK562H2azStdAln.narrowPeak
chr2	43165146	43165146	chr2	43162977	43165528	H2AZ	K562	wgEncodeBroadHistoneK562H2azStdAln.narrowPeak
chr2	58905714	58905714	chr2	58901029	58905721	H2AZ	K562	wgEncodeBroadHistoneK562H2azStdAln.narrowPeak
chr2	58999504	58999504	chr2	58994822	59000986	H2AZ	K562	wgEncodeBroadHistoneK562H2azStdAln.narrowPeak
