Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727760	7727909	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr1	36789545	36789545	chr1	36789440	36789589	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr2	169853632	169853632	chr2	169853620	169853769	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063780	221063929	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238235060	238235209	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462980	4463129	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr3	78650559	78650559	chr3	78650500	78650649	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr3	78650559	78650559	chr3	78650500	78650649	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352800	99352949	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352840	99352989	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr4	52938242	52938242	chr4	52938100	52938249	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465260	54465409	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941060	57941209	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr4	186909595	186909595	chr4	186909520	186909669	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr4	186909595	186909595	chr4	186909540	186909689	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767160	70767309	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr5	78041975	78041975	chr5	78041940	78042089	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822820	137822969	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822840	137822989	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84139980	84140129	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140020	84140169	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr6	130073290	130073290	chr6	130073160	130073309	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr8	26437075	26437075	chr8	26436980	26437129	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356360	119356509	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356360	119356509	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr10	29402288	29402288	chr10	29402160	29402309	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr10	29402288	29402288	chr10	29402160	29402309	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794540	111794689	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr10	129676168	129676168	chr10	129676100	129676249	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729820	128729969	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr12	124983615	124983615	chr12	124983540	124983689	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
chr12	124983615	124983615	chr12	124983540	124983689	HNPCEPIC	HNPCEpiC-DS12471.peaks.fdr0.01.hg19.bed
chr13	32799287	32799287	chr13	32799200	32799349	HNPCEPIC	HNPCEpiC-DS12467.peaks.fdr0.01.hg19.bed
