Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr3	172087897	172087897	chr3	172087681	172087920	MAFKAB50322	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafkab50322IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr5	168029261	168029261	chr5	168029074	168029313	MAFKAB50322	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafkab50322IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr6	117179500	117179500	chr6	117179312	117179551	MAFKAB50322	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafkab50322IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr6	148375030	148375030	chr6	148375013	148375252	MAFKAB50322	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafkab50322IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr7	24557028	24557028	chr7	24556875	24557114	MAFKAB50322	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafkab50322IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr7	29287447	29287447	chr7	29287404	29287635	MAFKAB50322	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafkab50322IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr9	105902263	105902263	chr9	105902255	105902494	MAFKAB50322	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafkab50322IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr10	61612158	61612158	chr10	61611941	61612180	MAFKAB50322	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafkab50322IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr10	130197452	130197452	chr10	130197340	130197579	MAFKAB50322	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafkab50322IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr11	103761558	103761558	chr11	103761460	103761699	MAFKAB50322	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafkab50322IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr12	30044931	30044931	chr12	30044799	30045038	MAFKAB50322	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafkab50322IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr15	54051252	54051252	chr15	54051116	54051355	MAFKAB50322	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafkab50322IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr16	14005132	14005132	chr16	14004932	14005171	MAFKAB50322	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafkab50322IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr18	7035914	7035914	chr18	7035883	7036122	MAFKAB50322	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafkab50322IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr21	42694666	42694666	chr21	42694512	42694751	MAFKAB50322	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafkab50322IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
