Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr6	160210060	160210060	CMYC_K562	160209940	160210243	NM_000636	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	160210060	160210060	CMYC_K562	160209940	160210243	NM_001024466	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	160210060	160210060	CMYC_K562	160209940	160210243	NM_001024465	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	160210060	160210060	CMYC_K562	160209969	160210272	NM_000636	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	160210060	160210060	CMYC_K562	160209969	160210272	NM_001024466	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	160210060	160210060	CMYC_K562	160209969	160210272	NM_001024465	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	160210060	160210060	CMYC_K562	160209965	160210244	NM_000636	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	160210060	160210060	CMYC_K562	160209965	160210244	NM_001024466	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	160210060	160210060	CMYC_K562	160209965	160210244	NM_001024465	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	160210060	160210060	CMYC_K562	160209975	160210274	NM_000636	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	160210060	160210060	CMYC_K562	160209975	160210274	NM_001024466	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	160210060	160210060	CMYC_K562	160209975	160210274	NM_001024465	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	170862335	170862335	CMYC_K562	170862178	170862481	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	CMYC_K562	170862178	170862481	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	CMYC_K562	170862182	170862485	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	CMYC_K562	170862182	170862485	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	CMYC_K562	170862215	170862514	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	CMYC_K562	170862215	170862514	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	CMYC_K562	170862232	170862511	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	CMYC_K562	170862232	170862511	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr11	47600437	47600437	CMYC_K562	47600433	47600712	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa05016
chr11	47600437	47600437	CMYC_K562	47600434	47600737	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa05016
