Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727669	7727918	YY1	K562	spp.optimal.wgEncodeHaibTfbsK562Yy1V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr1	7727853	7727853	chr1	7727678	7727881	YY1	K562	spp.optimal.wgEncodeHaibTfbsK562Yy1V0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr4	3454453	3454453	chr4	3454248	3454454	YY1	K562	spp.optimal.wgEncodeHaibTfbsK562Yy1V0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr4	3454453	3454453	chr4	3454258	3454507	YY1	K562	spp.optimal.wgEncodeHaibTfbsK562Yy1V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862217	170862497	YY1	K562	spp.optimal.wgEncodeHaibTfbsK562Yy1V0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862277	170862471	YY1	K562	spp.optimal.wgEncodeHaibTfbsK562Yy1V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr12	49390676	49390676	chr12	49390600	49390849	YY1	K562	spp.optimal.wgEncodeHaibTfbsK562Yy1V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299186	58299435	YY1	K562	spp.optimal.wgEncodeHaibTfbsK562Yy1V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299199	58299402	YY1	K562	spp.optimal.wgEncodeHaibTfbsK562Yy1V0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr13	111365588	111365588	chr13	111365566	111365815	YY1	K562	spp.optimal.wgEncodeHaibTfbsK562Yy1V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519223	74519472	YY1	K562	spp.optimal.wgEncodeHaibTfbsK562Yy1V0416101AlnRep0_VS_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519241	74519444	YY1	K562	spp.optimal.wgEncodeHaibTfbsK562Yy1V0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
chr22	18560569	18560569	chr22	18560502	18560919	YY1	K562	spp.optimal.wgEncodeHaibTfbsK562Yy1V0416102AlnRep0_VS_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak
