Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727685	7727889	CTCF	CACO2	spp.optimal.wgEncodeUwTfbsCaco2CtcfStdAlnRep0_VS_wgEncodeUwTfbsCaco2InputStdAlnRep1.narrowPeak
chr3	196019679	196019679	chr3	196019535	196019738	CTCF	CACO2	spp.optimal.wgEncodeUwTfbsCaco2CtcfStdAlnRep0_VS_wgEncodeUwTfbsCaco2InputStdAlnRep1.narrowPeak
chr4	3454453	3454453	chr4	3454290	3454493	CTCF	CACO2	spp.optimal.wgEncodeUwTfbsCaco2CtcfStdAlnRep0_VS_wgEncodeUwTfbsCaco2InputStdAlnRep1.narrowPeak
chr11	128729844	128729844	chr11	128729843	128729992	CTCF	CACO2	spp.optimal.wgEncodeUwTfbsCaco2CtcfStdAlnRep0_VS_wgEncodeUwTfbsCaco2InputStdAlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390615	49390780	CTCF	CACO2	spp.optimal.wgEncodeUwTfbsCaco2CtcfStdAlnRep0_VS_wgEncodeUwTfbsCaco2InputStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299200	58299414	CTCF	CACO2	spp.optimal.wgEncodeUwTfbsCaco2CtcfStdAlnRep0_VS_wgEncodeUwTfbsCaco2InputStdAlnRep1.narrowPeak
chr16	1481019	1481019	chr16	1480928	1481131	CTCF	CACO2	spp.optimal.wgEncodeUwTfbsCaco2CtcfStdAlnRep0_VS_wgEncodeUwTfbsCaco2InputStdAlnRep1.narrowPeak
chr17	959514	959514	chr17	959369	959572	CTCF	CACO2	spp.optimal.wgEncodeUwTfbsCaco2CtcfStdAlnRep0_VS_wgEncodeUwTfbsCaco2InputStdAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519267	74519444	CTCF	CACO2	spp.optimal.wgEncodeUwTfbsCaco2CtcfStdAlnRep0_VS_wgEncodeUwTfbsCaco2InputStdAlnRep1.narrowPeak
chr18	48188791	48188791	chr18	48188613	48188816	CTCF	CACO2	spp.optimal.wgEncodeUwTfbsCaco2CtcfStdAlnRep0_VS_wgEncodeUwTfbsCaco2InputStdAlnRep1.narrowPeak
chr19	495721	495721	chr19	495718	495921	CTCF	CACO2	spp.optimal.wgEncodeUwTfbsCaco2CtcfStdAlnRep0_VS_wgEncodeUwTfbsCaco2InputStdAlnRep1.narrowPeak
