Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36785850	36789899	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246780	113250724	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312850	102318513	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr3	19931169	19931169	chr3	19930192	19931474	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378887	44381581	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88310795	88313338	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170580001	170582850	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137799005	137804429	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167912897	167914995	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr6	26103176	26103176	chr6	26103094	26105186	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84139090	84141585	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr6	136359445	136359445	chr6	136358373	136362125	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160208777	160213236	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170860536	170864944	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433246	26438790	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115982115	115985586	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr10	13341377	13341377	chr10	13340896	13342810	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr10	114715688	114715688	chr10	114714979	114716200	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr11	35161075	35161075	chr11	35159774	35166924	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr11	47600437	47600437	chr11	47599130	47602228	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr12	49390676	49390676	chr12	49390622	49391439	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr12	50298534	50298534	chr12	50297285	50298544	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr13	111365588	111365588	chr13	111363554	111367933	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr15	90895957	90895957	chr15	90894929	90896401	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr16	57024661	57024661	chr16	57022234	57024755	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr16	57771125	57771125	chr16	57768038	57771247	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr17	48273154	48273154	chr17	48272464	48279862	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr19	1847697	1847697	chr19	1846759	1849248	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr19	2238666	2238666	chr19	2234748	2241150	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr19	4585170	4585170	chr19	4584111	4585206	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr19	49621963	49621963	chr19	49621430	49623466	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr22	18560569	18560569	chr22	18559528	18562103	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
chr22	38144617	38144617	chr22	38140988	38144638	H3K4ME3	HASP	wgEncodeUwHistoneHaspH3k4me3StdAln.narrowPeak
