Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr6	170862335	170862335	TBP_GM12878	170862258	170862567	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	TBP_GM12878	170862258	170862567	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	TBP_K562	170862266	170862503	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	TBP_K562	170862266	170862503	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	TBP_H1HESC	170862304	170862466	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	TBP_H1HESC	170862304	170862466	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	TBP_HEPG2	170862310	170862454	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	TBP_HEPG2	170862310	170862454	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr11	47600437	47600437	TBP_GM12878	47600388	47600697	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa05016
chr11	47600437	47600437	TBP_HELAS3	47600424	47600723	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa05016
chr11	47600437	47600437	TBP_HEPG2	47600428	47600727	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa05016
chr17	33864706	33864706	TBP_GM12878	33864638	33864947	NM_001282	33814281	33904280	5D	AP2B1	163	hsa05016
chr17	33864706	33864706	TBP_GM12878	33864638	33864947	NM_001030006	33814281	33904280	5D	AP2B1	163	hsa05016
