Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727674	7727886	CTCFC20	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Ctcfc20StdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak
chr3	196019679	196019679	chr3	196019502	196019701	CTCFC20	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Ctcfc20StdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak
chr4	3454453	3454453	chr4	3454277	3454476	CTCFC20	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Ctcfc20StdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak
chr11	128729844	128729844	chr11	128729829	128730018	CTCFC20	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Ctcfc20StdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390610	49390795	CTCFC20	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Ctcfc20StdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299173	58299422	CTCFC20	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Ctcfc20StdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak
chr17	959514	959514	chr17	959391	959590	CTCFC20	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Ctcfc20StdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519245	74519463	CTCFC20	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Ctcfc20StdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak
chr18	48188791	48188791	chr18	48188622	48188821	CTCFC20	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Ctcfc20StdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak
chr19	495721	495721	chr19	495719	495918	CTCFC20	GM12878	spp.optimal.wgEncodeSydhTfbsGm12878Ctcfc20StdAlnRep0_VS_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak
