Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	42680326	42680326	chr1	42680216	42680595	GATA2	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecGata2UcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr2	102315056	102315056	chr2	102315035	102315414	GATA2	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecGata2UcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr4	54465286	54465286	chr4	54465183	54465562	GATA2	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecGata2UcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr6	138409766	138409766	chr6	138409390	138409769	GATA2	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecGata2UcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr7	130009352	130009352	chr7	130009176	130009555	GATA2	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecGata2UcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr8	119356465	119356465	chr8	119356158	119356537	GATA2	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecGata2UcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr9	21674948	21674948	chr9	21674890	21675269	GATA2	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecGata2UcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr10	29402288	29402288	chr10	29402234	29402371	GATA2	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecGata2UcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299198	58299577	GATA2	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecGata2UcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr12	95285338	95285338	chr12	95285309	95285688	GATA2	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecGata2UcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr15	46211085	46211085	chr15	46211068	46211447	GATA2	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecGata2UcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr16	64433030	64433030	chr16	64432783	64433162	GATA2	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecGata2UcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr17	42754776	42754776	chr17	42754435	42754814	GATA2	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecGata2UcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr18	37950650	37950650	chr18	37950314	37950693	GATA2	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecGata2UcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
chr20	48407126	48407126	chr20	48406842	48407230	GATA2	HUVEC	spp.optimal.wgEncodeSydhTfbsHuvecGata2UcdAlnRep0_VS_wgEncodeSydhTfbsHuvecInputUcdAlnRep1.narrowPeak
