Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	3197746	3197746	chr1	3197069	3201757	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr1	7727853	7727853	chr1	7727397	7730776	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr1	21927847	21927847	chr1	21927696	21927876	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr1	22224101	22224101	chr1	22223170	22224149	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36786511	36789798	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr1	42680326	42680326	chr1	42680249	42680608	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr1	230686472	230686472	chr1	230686325	230686509	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr2	102315056	102315056	chr2	102314949	102315473	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr2	221063850	221063850	chr2	221063587	221064068	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr2	238635136	238635136	chr2	238635113	238635314	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr3	52968725	52968725	chr3	52968713	52969007	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr3	126265705	126265705	chr3	126265443	126265783	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr3	155755220	155755220	chr3	155755175	155755415	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr5	137797379	137797379	chr5	137796964	137797474	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr5	137802403	137802403	chr5	137799236	137802513	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr5	167913602	167913602	chr5	167913200	167913657	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr5	178750376	178750376	chr5	178749914	178750477	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170862289	170862537	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr7	5530781	5530781	chr7	5530724	5531732	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr7	130009352	130009352	chr7	130009242	130009399	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr7	155257893	155257893	chr7	155257882	155258465	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr8	95316255	95316255	chr8	95315789	95316336	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr8	142295964	142295964	chr8	142295615	142296434	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr8	143887956	143887956	chr8	143887166	143888120	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr9	98541231	98541231	chr9	98541112	98541690	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr9	115983539	115983539	chr9	115983424	115984018	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr10	13341377	13341377	chr10	13341241	13342368	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr10	73820000	73820000	chr10	73819933	73820156	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr11	2933064	2933064	chr11	2929469	2936549	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr11	12290811	12290811	chr11	12290654	12290994	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr11	35161075	35161075	chr11	35160163	35161855	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr11	47600437	47600437	chr11	47600041	47601015	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr12	49390676	49390676	chr12	49388313	49393907	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr12	50306147	50306147	chr12	50306061	50306474	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr12	58299249	58299249	chr12	58299092	58299491	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr12	124418673	124418673	chr12	124418436	124418749	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr12	124983615	124983615	chr12	124980964	124983858	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr13	111365588	111365588	chr13	111364440	111368756	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr14	34155697	34155697	chr14	34155517	34155791	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr14	52250689	52250689	chr14	52250546	52250823	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr14	104859418	104859418	chr14	104859213	104859488	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr15	90895957	90895957	chr15	90895040	90896038	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr15	99498084	99498084	chr15	99497056	99499264	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr16	633353	633353	chr16	632439	634939	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr16	671681	671681	chr16	670770	672622	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr16	1481019	1481019	chr16	1476264	1482324	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr16	1495299	1495299	chr16	1492302	1497586	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr16	1499376	1499376	chr16	1497732	1499687	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr16	70743024	70743024	chr16	70742627	70743077	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr17	959514	959514	chr17	959079	959691	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr17	3591821	3591821	chr17	3591273	3591842	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr17	4316477	4316477	chr17	4316443	4316866	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr17	36898392	36898392	chr17	36897931	36899208	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr17	39561909	39561909	chr17	39561726	39561980	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr17	74519373	74519373	chr17	74519131	74519648	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr19	495721	495721	chr19	495123	495959	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr19	1828947	1828947	chr19	1825803	1829241	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr19	1847697	1847697	chr19	1847398	1849114	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr19	4555309	4555309	chr19	4555068	4555617	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr19	4585170	4585170	chr19	4583111	4585488	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr19	4769739	4769739	chr19	4769428	4769901	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr19	49621963	49621963	chr19	49621474	49623849	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr19	51173217	51173217	chr19	51169293	51173856	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr20	60379459	60379459	chr20	60377914	60379894	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr20	62223237	62223237	chr20	62223164	62223405	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr21	27520110	27520110	chr21	27520033	27520111	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr21	35239086	35239086	chr21	35238903	35239561	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr21	37872446	37872446	chr21	37872368	37872734	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr22	17587679	17587679	chr22	17587189	17589011	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr22	18560569	18560569	chr22	18560288	18561514	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr22	19733810	19733810	chr22	19731779	19734203	MYOBLAST	MyoblastDukeDNaseSeq.pk
chr22	38158740	38158740	chr22	38158695	38158970	MYOBLAST	MyoblastDukeDNaseSeq.pk
