Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr5	58562464	58562464	GR_A549	58562320	58562589	NM_001197219	58511794	58652582	INTRON14	PDE4D	5144	hsa00230
chr5	58562464	58562464	GR_A549	58562320	58562589	NM_001197218	58511794	59064071	INTRON14	PDE4D	5144	hsa00230
chr5	58562464	58562464	GR_A549	58562320	58562589	NM_001104631	58511794	59188993	INTRON14	PDE4D	5144	hsa00230
chr5	58562464	58562464	GR_A549	58562320	58562589	NM_001165899	58511794	59284313	INTRON14	PDE4D	5144	hsa00230
chr5	58562464	58562464	GR_A549	58562320	58562589	NM_006203	58511794	58882153	INTRON14	PDE4D	5144	hsa00230
chr5	58562464	58562464	GR_A549	58562320	58562589	NM_001197220	58511794	58571162	INTRON14	PDE4D	5144	hsa00230
chr5	58583212	58583212	GR_A549	58583194	58583463	NM_001197219	58511794	58652582	INTRON14	PDE4D	5144	hsa00230
chr5	58583212	58583212	GR_A549	58583194	58583463	NM_001197218	58511794	59064071	INTRON14	PDE4D	5144	hsa00230
chr5	58583212	58583212	GR_A549	58583194	58583463	NM_001104631	58511794	59188993	INTRON14	PDE4D	5144	hsa00230
chr5	58583212	58583212	GR_A549	58583194	58583463	NM_001165899	58511794	59284313	INTRON14	PDE4D	5144	hsa00230
chr5	58583212	58583212	GR_A549	58583194	58583463	NM_006203	58511794	58882153	INTRON14	PDE4D	5144	hsa00230
chr5	58583212	58583212	GR_A549	58583194	58583463	NM_001197220	58581945	58671944	5D	PDE4D	5144	hsa00230
