Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36788408	36790790	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr1	113242121	113242121	chr1	113240241	113244857	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr1	113248364	113248364	chr1	113246320	113251368	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr1	230238820	230238820	chr1	230238275	230243244	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr2	46639625	46639625	chr2	46634702	46639768	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr2	102315056	102315056	chr2	102312557	102321010	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr2	153572155	153572155	chr2	153570771	153578468	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr3	37952593	37952593	chr3	37943434	37953243	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr3	44380487	44380487	chr3	44378641	44382162	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr3	58165232	58165232	chr3	58158795	58166594	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr4	3454453	3454453	chr4	3453412	3454465	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr4	88313178	88313178	chr4	88307541	88313828	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr4	170580817	170580817	chr4	170579841	170582902	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr5	137802403	137802403	chr5	137798743	137803311	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr5	141721244	141721244	chr5	141720993	141723671	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr5	167913602	167913602	chr5	167912696	167915153	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr6	26103176	26103176	chr6	26102472	26105141	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr6	160210060	160210060	chr6	160206707	160214776	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr6	170862335	170862335	chr6	170860068	170866454	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr7	29287447	29287447	chr7	29286323	29290173	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr7	77044447	77044447	chr7	77037033	77047045	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr7	130012956	130012956	chr7	130012204	130014851	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
chr8	26437075	26437075	chr8	26433292	26439055	H3K9AC	HEPG2	wgEncodeBroadHistoneHepg2H3k9acStdAln.narrowPeak
