Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr3	196019679	196019679	CTCF_HELAS3	196019483	196019682	NM_005017	196016584	196024583	5P2	PCYT1A	5130	hsa01100
chr3	196019679	196019679	CTCF_HELAS3	196019488	196019727	NM_005017	196016584	196024583	5P2	PCYT1A	5130	hsa01100
chr3	196019679	196019679	CTCF_HELAS3	196019541	196019696	NM_005017	196016584	196024583	5P2	PCYT1A	5130	hsa01100
chr17	74519373	74519373	CTCF_HELAS3	74519176	74519549	NM_001166579	74476199	74566198	3D	AANAT	15	hsa01100
chr17	74519373	74519373	CTCF_HELAS3	74519176	74519549	NM_001088	74476199	74566198	3D	AANAT	15	hsa01100
chr17	74519373	74519373	CTCF_HELAS3	74519221	74519486	NM_001166579	74476199	74566198	3D	AANAT	15	hsa01100
chr17	74519373	74519373	CTCF_HELAS3	74519221	74519486	NM_001088	74476199	74566198	3D	AANAT	15	hsa01100
chr17	74519373	74519373	CTCF_HELAS3	74519250	74519448	NM_001166579	74476199	74566198	3D	AANAT	15	hsa01100
chr17	74519373	74519373	CTCF_HELAS3	74519250	74519448	NM_001088	74476199	74566198	3D	AANAT	15	hsa01100
chr21	38539118	38539118	CTCF_HELAS3	38539005	38539384	NM_153681	38455103	38545102	5D	PIGP	51227	hsa01100
chr21	38539118	38539118	CTCF_HELAS3	38539005	38539384	NR_028352	38455458	38545457	5D	PIGP	51227	hsa01100
chr21	38539118	38539118	CTCF_HELAS3	38539005	38539384	NM_153682	38455458	38545457	5D	PIGP	51227	hsa01100
chr21	38539118	38539118	CTCF_HELAS3	38539118	38539273	NM_153681	38455103	38545102	5D	PIGP	51227	hsa01100
chr21	38539118	38539118	CTCF_HELAS3	38539118	38539273	NR_028352	38455458	38545457	5D	PIGP	51227	hsa01100
chr21	38539118	38539118	CTCF_HELAS3	38539118	38539273	NM_153682	38455458	38545457	5D	PIGP	51227	hsa01100
