Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727638	7727896	CTCF	HEK293	spp.optimal.wgEncodeUwTfbsHek293CtcfStdAlnRep0_VS_wgEncodeUwTfbsHek293InputStdAlnRep1.narrowPeak
chr10	5706021	5706021	chr10	5705905	5706140	CTCF	HEK293	spp.optimal.wgEncodeUwTfbsHek293CtcfStdAlnRep0_VS_wgEncodeUwTfbsHek293InputStdAlnRep1.narrowPeak
chr11	128729844	128729844	chr11	128729833	128730029	CTCF	HEK293	spp.optimal.wgEncodeUwTfbsHek293CtcfStdAlnRep0_VS_wgEncodeUwTfbsHek293InputStdAlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390585	49390793	CTCF	HEK293	spp.optimal.wgEncodeUwTfbsHek293CtcfStdAlnRep0_VS_wgEncodeUwTfbsHek293InputStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299176	58299442	CTCF	HEK293	spp.optimal.wgEncodeUwTfbsHek293CtcfStdAlnRep0_VS_wgEncodeUwTfbsHek293InputStdAlnRep1.narrowPeak
chr17	959514	959514	chr17	959365	959574	CTCF	HEK293	spp.optimal.wgEncodeUwTfbsHek293CtcfStdAlnRep0_VS_wgEncodeUwTfbsHek293InputStdAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519210	74519489	CTCF	HEK293	spp.optimal.wgEncodeUwTfbsHek293CtcfStdAlnRep0_VS_wgEncodeUwTfbsHek293InputStdAlnRep1.narrowPeak
chr18	48188791	48188791	chr18	48188620	48188855	CTCF	HEK293	spp.optimal.wgEncodeUwTfbsHek293CtcfStdAlnRep0_VS_wgEncodeUwTfbsHek293InputStdAlnRep1.narrowPeak
chr19	4941455	4941455	chr19	4941308	4941543	CTCF	HEK293	spp.optimal.wgEncodeUwTfbsHek293CtcfStdAlnRep0_VS_wgEncodeUwTfbsHek293InputStdAlnRep1.narrowPeak
chr21	38539118	38539118	chr21	38539083	38539318	CTCF	HEK293	spp.optimal.wgEncodeUwTfbsHek293CtcfStdAlnRep0_VS_wgEncodeUwTfbsHek293InputStdAlnRep1.narrowPeak
