Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr6	170862335	170862335	chr6	170862190	170862480	TAF1	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescTaf1V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862190	170862480	TAF1	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescTaf1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr9	115983539	115983539	chr9	115983374	115983643	TAF1	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescTaf1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr9	115983539	115983539	chr9	115983374	115983643	TAF1	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescTaf1V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr11	47600437	47600437	chr11	47600367	47600817	TAF1	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescTaf1V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr11	47600437	47600437	chr11	47600367	47600817	TAF1	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescTaf1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr13	111365588	111365588	chr13	111365515	111365696	TAF1	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescTaf1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr13	111365588	111365588	chr13	111365515	111365696	TAF1	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescTaf1V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr19	49621963	49621963	chr19	49621924	49622048	TAF1	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescTaf1Pcr1xAlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
chr19	49621963	49621963	chr19	49621924	49622048	TAF1	H1HESC	spp.optimal.wgEncodeHaibTfbsH1hescTaf1V0416102AlnRep0_VS_wgEncodeHaibTfbsH1hescControlPcr1xAlnRep0.narrowPeak
