Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	CCNT2_K562	12995530	12995845	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	CCNT2_K562	12995530	12995845	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CCNT2_K562	12995530	12995845	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CCNT2_K562	12995530	12995845	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CCNT2_K562	12995530	12995845	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CCNT2_K562	12996021	12996336	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	CCNT2_K562	12996021	12996336	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CCNT2_K562	12996021	12996336	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CCNT2_K562	12996021	12996336	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CCNT2_K562	12996021	12996336	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CCNT2_K562	12997044	12997359	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	CCNT2_K562	12997044	12997359	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CCNT2_K562	12997044	12997359	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CCNT2_K562	12997044	12997359	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CCNT2_K562	12997044	12997359	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CCNT2_K562	12998419	12998518	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	CCNT2_K562	12998419	12998518	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CCNT2_K562	12998419	12998518	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CCNT2_K562	12998419	12998518	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CCNT2_K562	12998419	12998518	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
