Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HCPEPIC	HCPEpiC-DS12457.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727720	7727869	HCPEPIC	HCPEpiC-DS12447.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HCPEPIC	HCPEpiC-DS12457.peaks.fdr0.01.hg19.bed
chr1	95145452	95145452	chr1	95145340	95145489	HCPEPIC	HCPEpiC-DS12457.peaks.fdr0.01.hg19.bed
chr2	19497992	19497992	chr2	19497860	19498009	HCPEPIC	HCPEpiC-DS12447.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	HCPEPIC	HCPEpiC-DS12457.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	HCPEPIC	HCPEpiC-DS12447.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	HCPEPIC	HCPEpiC-DS12447.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462960	4463109	HCPEPIC	HCPEpiC-DS12457.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352800	99352949	HCPEPIC	HCPEpiC-DS12457.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352820	99352969	HCPEPIC	HCPEpiC-DS12447.peaks.fdr0.01.hg19.bed
chr3	122388463	122388463	chr3	122388320	122388469	HCPEPIC	HCPEpiC-DS12447.peaks.fdr0.01.hg19.bed
chr3	122388463	122388463	chr3	122388380	122388529	HCPEPIC	HCPEpiC-DS12457.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196540	40196689	HCPEPIC	HCPEpiC-DS12447.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HCPEPIC	HCPEpiC-DS12447.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941060	57941209	HCPEPIC	HCPEpiC-DS12457.peaks.fdr0.01.hg19.bed
chr4	111077160	111077160	chr4	111077060	111077209	HCPEPIC	HCPEpiC-DS12457.peaks.fdr0.01.hg19.bed
chr5	55422680	55422680	chr5	55422660	55422809	HCPEPIC	HCPEpiC-DS12447.peaks.fdr0.01.hg19.bed
chr5	55422680	55422680	chr5	55422680	55422829	HCPEPIC	HCPEpiC-DS12457.peaks.fdr0.01.hg19.bed
chr5	58562464	58562464	chr5	58562320	58562469	HCPEPIC	HCPEpiC-DS12457.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767120	70767269	HCPEPIC	HCPEpiC-DS12457.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767120	70767269	HCPEPIC	HCPEpiC-DS12447.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140020	84140169	HCPEPIC	HCPEpiC-DS12447.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009300	130009449	HCPEPIC	HCPEpiC-DS12447.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	HCPEPIC	HCPEpiC-DS12457.peaks.fdr0.01.hg19.bed
chr8	6487448	6487448	chr8	6487420	6487569	HCPEPIC	HCPEpiC-DS12447.peaks.fdr0.01.hg19.bed
