Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	42680326	42680326	chr1	42680298	42680471	CEBPB	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr2	131951960	131951960	chr2	131951861	131952076	CEBPB	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr5	56036981	56036981	chr5	56036800	56037015	CEBPB	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr6	170862335	170862335	chr6	170862290	170862505	CEBPB	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2CebpbForsklnStdAlnRep0_VS_wgEncodeSydhTfbsHepg2InputForsklnStdAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862303	170862518	CEBPB	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr7	130009352	130009352	chr7	130009283	130009498	CEBPB	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr12	33340615	33340615	chr12	33340440	33340655	CEBPB	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr14	52250689	52250689	chr14	52250580	52250795	CEBPB	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr15	90925720	90925720	chr15	90925596	90925811	CEBPB	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr15	90964890	90964890	chr15	90964868	90965083	CEBPB	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr16	1481019	1481019	chr16	1480968	1481183	CEBPB	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
