Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr6	84140037	84140037	POL2_A549	84140001	84140244	NM_002395	84117620	84140594	INTRON13	ME1	4199	hsa01100
chr6	84140037	84140037	POL2_HELAS3	84139977	84140286	NM_002395	84117620	84140594	INTRON13	ME1	4199	hsa01100
chr6	84140037	84140037	POL2_HELAS3	84140034	84140109	NM_002395	84117620	84140594	INTRON13	ME1	4199	hsa01100
chr6	160210060	160210060	POL2_HELAS3	160209775	160210084	NM_005891	160202087	160210086	3P2	ACAT2	39	hsa01100
chr6	160210060	160210060	POL2_GM12878	160209869	160210124	NM_005891	160202087	160210086	3P2	ACAT2	39	hsa01100
chr11	47600437	47600437	POL2_A549	47600411	47600785	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa01100
chr11	47600437	47600437	POL2_HELAS3	47600353	47600788	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa01100
chr11	47600437	47600437	POL2_HELAS3	47600332	47600763	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa01100
chr11	47600437	47600437	POL2_GM12891	47600358	47600647	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa01100
chr11	47600437	47600437	POL2_RAJI	47600382	47600803	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa01100
chr16	637211	637211	POL2_PBDE	636270	637305	NM_148920	636136	644135	3P2	PIGQ	9091	hsa01100
chr16	637211	637211	POL2_PBDE	636270	637305	NM_004204	636136	644135	3P2	PIGQ	9091	hsa01100
chr16	637211	637211	POL2_PBDE	636270	637305	NM_148920	636136	644135	3P2	PIGQ	9091	hsa01100
chr16	637211	637211	POL2_PBDE	636270	637305	NM_004204	636136	644135	3P2	PIGQ	9091	hsa01100
chr16	637211	637211	POL2_A549	637204	637431	NM_148920	636136	644135	3P2	PIGQ	9091	hsa01100
chr16	637211	637211	POL2_A549	637204	637431	NM_004204	636136	644135	3P2	PIGQ	9091	hsa01100
chr16	637211	637211	POL2_RAJI	637147	637337	NM_148920	636136	644135	3P2	PIGQ	9091	hsa01100
chr16	637211	637211	POL2_RAJI	637147	637337	NM_004204	636136	644135	3P2	PIGQ	9091	hsa01100
chr16	637211	637211	POL2_PBDE	637105	637554	NM_148920	636136	644135	3P2	PIGQ	9091	hsa01100
chr16	637211	637211	POL2_PBDE	637105	637554	NM_004204	636136	644135	3P2	PIGQ	9091	hsa01100
chr16	637211	637211	POL2_GM12878	637185	637440	NM_148920	636136	644135	3P2	PIGQ	9091	hsa01100
chr16	637211	637211	POL2_GM12878	637185	637440	NM_004204	636136	644135	3P2	PIGQ	9091	hsa01100
chr16	637211	637211	POL2_HEPG2	637206	637461	NM_148920	636136	644135	3P2	PIGQ	9091	hsa01100
chr16	637211	637211	POL2_HEPG2	637206	637461	NM_004204	636136	644135	3P2	PIGQ	9091	hsa01100
chr17	41046439	41046439	POL2_HEPG2	41046307	41046562	NM_000151	41042813	41050812	5P2	G6PC	2538	hsa01100
chr17	41046439	41046439	POL2_HEPG2	41046307	41046562	NM_001270397	41042813	41050812	5P2	G6PC	2538	hsa01100
chr21	35275240	35275240	POL2_K562	35275077	35275296	NM_001697	35273756	35275755	3P1	ATP5O	539	hsa01100
