Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727650	7727925	CTCF	NHA	spp.optimal.wgEncodeBroadHistoneNhaCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhaControlStdAlnRep0.narrowPeak
chr3	52968725	52968725	chr3	52968718	52968963	CTCF	NHA	spp.optimal.wgEncodeBroadHistoneNhaCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhaControlStdAlnRep0.narrowPeak
chr4	3454453	3454453	chr4	3454248	3454563	CTCF	NHA	spp.optimal.wgEncodeBroadHistoneNhaCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhaControlStdAlnRep0.narrowPeak
chr6	130073290	130073290	chr6	130073058	130073294	CTCF	NHA	spp.optimal.wgEncodeBroadHistoneNhaCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhaControlStdAlnRep0.narrowPeak
chr8	119356465	119356465	chr8	119356222	119356537	CTCF	NHA	spp.optimal.wgEncodeBroadHistoneNhaCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhaControlStdAlnRep0.narrowPeak
chr11	128729844	128729844	chr11	128729844	128730041	CTCF	NHA	spp.optimal.wgEncodeBroadHistoneNhaCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhaControlStdAlnRep0.narrowPeak
chr12	49390676	49390676	chr12	49390612	49390782	CTCF	NHA	spp.optimal.wgEncodeBroadHistoneNhaCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhaControlStdAlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299137	58299458	CTCF	NHA	spp.optimal.wgEncodeBroadHistoneNhaCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhaControlStdAlnRep0.narrowPeak
chr17	959514	959514	chr17	959409	959533	CTCF	NHA	spp.optimal.wgEncodeBroadHistoneNhaCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhaControlStdAlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519250	74519472	CTCF	NHA	spp.optimal.wgEncodeBroadHistoneNhaCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhaControlStdAlnRep0.narrowPeak
chr19	495721	495721	chr19	495668	495983	CTCF	NHA	spp.optimal.wgEncodeBroadHistoneNhaCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhaControlStdAlnRep0.narrowPeak
