Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	22224101	22224101	chr1	22222314	22227632	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr1	36789545	36789545	chr1	36785468	36790717	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr1	113056989	113056989	chr1	113056877	113059132	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr1	113242121	113242121	chr1	113241745	113250620	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr1	113248364	113248364	chr1	113241745	113250620	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr1	183241261	183241261	chr1	183239007	183243252	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr1	209211967	209211967	chr1	209211811	209214386	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr1	223960535	223960535	chr1	223956905	223961158	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr1	230238820	230238820	chr1	230236963	230242902	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr2	102315056	102315056	chr2	102314354	102323928	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr2	128264245	128264245	chr2	128261648	128267603	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr2	159926848	159926848	chr2	159924840	159931195	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr2	225434444	225434444	chr2	225433378	225436043	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr2	238210048	238210048	chr2	238207718	238210131	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr2	238224334	238224334	chr2	238222965	238225528	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr2	238235081	238235081	chr2	238231170	238237098	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr2	238635136	238635136	chr2	238633703	238636757	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr3	4463007	4463007	chr3	4462273	4463501	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
chr3	16164694	16164694	chr3	16163346	16168240	H3K27AC	NHLF	wgEncodeBroadHistoneNhlfH3k27acStdAln.narrowPeak
