Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HCFAA	HCFaa-DS13484.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727760	7727909	HCFAA	HCFaa-DS13480.peaks.fdr0.01.hg19.bed
chr1	36789545	36789545	chr1	36789520	36789669	HCFAA	HCFaa-DS13480.peaks.fdr0.01.hg19.bed
chr2	128264245	128264245	chr2	128264200	128264349	HCFAA	HCFaa-DS13484.peaks.fdr0.01.hg19.bed
chr2	128264245	128264245	chr2	128264240	128264389	HCFAA	HCFaa-DS13480.peaks.fdr0.01.hg19.bed
chr2	144282077	144282077	chr2	144281940	144282089	HCFAA	HCFaa-DS13480.peaks.fdr0.01.hg19.bed
chr2	177146274	177146274	chr2	177146160	177146309	HCFAA	HCFaa-DS13480.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	HCFAA	HCFaa-DS13484.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	HCFAA	HCFaa-DS13480.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238234940	238235089	HCFAA	HCFaa-DS13484.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462960	4463109	HCFAA	HCFaa-DS13484.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462980	4463129	HCFAA	HCFaa-DS13480.peaks.fdr0.01.hg19.bed
chr3	44380487	44380487	chr3	44380400	44380549	HCFAA	HCFaa-DS13484.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352860	99353009	HCFAA	HCFaa-DS13484.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352840	99352989	HCFAA	HCFaa-DS13480.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HCFAA	HCFaa-DS13484.peaks.fdr0.01.hg19.bed
