Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HPAF	HPAF-DS13416.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727720	7727869	HPAF	HPAF-DS13411.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HPAF	HPAF-DS13416.peaks.fdr0.01.hg19.bed
chr1	95145452	95145452	chr1	95145400	95145549	HPAF	HPAF-DS13416.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102315020	102315169	HPAF	HPAF-DS13416.peaks.fdr0.01.hg19.bed
chr2	158291538	158291538	chr2	158291460	158291609	HPAF	HPAF-DS13411.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	HPAF	HPAF-DS13416.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	HPAF	HPAF-DS13411.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224280	238224429	HPAF	HPAF-DS13411.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224320	238224469	HPAF	HPAF-DS13416.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238235040	238235189	HPAF	HPAF-DS13411.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238235080	238235229	HPAF	HPAF-DS13416.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462980	4463129	HPAF	HPAF-DS13411.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4463000	4463149	HPAF	HPAF-DS13416.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465200	54465349	HPAF	HPAF-DS13411.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465260	54465409	HPAF	HPAF-DS13416.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941020	57941169	HPAF	HPAF-DS13416.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HPAF	HPAF-DS13411.peaks.fdr0.01.hg19.bed
chr4	186909595	186909595	chr4	186909520	186909669	HPAF	HPAF-DS13416.peaks.fdr0.01.hg19.bed
chr4	186909595	186909595	chr4	186909520	186909669	HPAF	HPAF-DS13411.peaks.fdr0.01.hg19.bed
chr5	55422680	55422680	chr5	55422680	55422829	HPAF	HPAF-DS13411.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767120	70767269	HPAF	HPAF-DS13416.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767160	70767309	HPAF	HPAF-DS13411.peaks.fdr0.01.hg19.bed
chr5	78041975	78041975	chr5	78041940	78042089	HPAF	HPAF-DS13411.peaks.fdr0.01.hg19.bed
chr5	137834138	137834138	chr5	137834120	137834269	HPAF	HPAF-DS13411.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84139980	84140129	HPAF	HPAF-DS13416.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140020	84140169	HPAF	HPAF-DS13411.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	HPAF	HPAF-DS13416.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	HPAF	HPAF-DS13411.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356420	119356569	HPAF	HPAF-DS13411.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356420	119356569	HPAF	HPAF-DS13416.peaks.fdr0.01.hg19.bed
