Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr4	57941159	57941159	USF1_H1HESC	57941067	57941296	NM_000938	57907334	57997333	3D	POLR2B	5431	hsa01100
chr11	47600437	47600437	USF1_A549	47600426	47600669	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa01100
chr19	49211968	49211968	USF1_H1HESC	49211817	49212046	NM_020126	49143663	49233662	3D	SPHK2	56848	hsa01100
chr19	49211968	49211968	USF1_H1HESC	49211817	49212046	NM_001204160	49143663	49233662	3D	SPHK2	56848	hsa01100
chr19	49211968	49211968	USF1_H1HESC	49211817	49212046	NM_001204159	49143663	49233662	3D	SPHK2	56848	hsa01100
chr19	49211968	49211968	USF1_H1HESC	49211817	49212046	NM_001204158	49143663	49233662	3D	SPHK2	56848	hsa01100
chr19	49211968	49211968	USF1_H1HESC	49211817	49212046	NM_001243876	49143663	49233662	3D	SPHK2	56848	hsa01100
chr19	49211968	49211968	USF1_H1HESC	49211817	49212046	NM_000148	49151267	49241266	3D	FUT1	2523	hsa01100
chr19	49211968	49211968	USF1_H1HESC	49211817	49212046	NM_001097638	49211191	49219190	3P2	FUT2	2524	hsa01100
chr19	49211968	49211968	USF1_H1HESC	49211817	49212046	NM_001164773	49198318	49288317	3D	BCAT2	587	hsa01100
chr19	49211968	49211968	USF1_H1HESC	49211817	49212046	NM_001190	49198318	49288317	3D	BCAT2	587	hsa01100
chr19	49211968	49211968	USF1_H1HESC	49211817	49212046	NR_028451	49198318	49288317	3D	BCAT2	587	hsa01100
chr19	49211968	49211968	USF1_H1HESC	49211817	49212046	NR_028450	49198318	49288317	3D	BCAT2	587	hsa01100
chr19	49211968	49211968	USF1_H1HESC	49211817	49212046	NM_000511	49211191	49219190	3P2	FUT2	2524	hsa01100
