Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr3	172087897	172087897	chr3	172087672	172087915	MAFKSC477	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafksc477IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr5	5641115	5641115	chr5	5640875	5641118	MAFKSC477	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafksc477IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr5	168029261	168029261	chr5	168029061	168029304	MAFKSC477	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafksc477IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr7	24557028	24557028	chr7	24556859	24557102	MAFKSC477	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafksc477IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr7	29287447	29287447	chr7	29287444	29287599	MAFKSC477	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafksc477IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr10	130197452	130197452	chr10	130197340	130197583	MAFKSC477	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafksc477IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr14	58405523	58405523	chr14	58405282	58405525	MAFKSC477	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafksc477IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr15	54051252	54051252	chr15	54051112	54051355	MAFKSC477	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafksc477IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr18	7035914	7035914	chr18	7035873	7036116	MAFKSC477	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafksc477IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr21	42694666	42694666	chr21	42694520	42694763	MAFKSC477	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Mafksc477IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
