Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727424	7731576	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr1	22224101	22224101	chr1	22223123	22224717	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr1	36789545	36789545	chr1	36789294	36790760	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr1	53515100	53515100	chr1	53513366	53515251	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr1	113242121	113242121	chr1	113240301	113246062	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246101	113249498	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr1	119837301	119837301	chr1	119836828	119837914	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr1	165186489	165186489	chr1	165184590	165186952	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr1	196281801	196281801	chr1	196281545	196282828	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr1	202075668	202075668	chr1	202074237	202077973	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr1	230238820	230238820	chr1	230236523	230243166	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr1	233771246	233771246	chr1	233771002	233772837	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr2	12237418	12237418	chr2	12236107	12237498	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr2	45113851	45113851	chr2	45111796	45113992	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr2	66914690	66914690	chr2	66913183	66914924	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr2	128239019	128239019	chr2	128236842	128239419	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr3	3749435	3749435	chr3	3748652	3750647	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr3	99352911	99352911	chr3	99351784	99354325	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr4	7529366	7529366	chr4	7528626	7530204	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr4	76995329	76995329	chr4	76993297	76996166	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr5	34863932	34863932	chr5	34862772	34865953	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr5	134939123	134939123	chr5	134938618	134940009	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr5	134939989	134939989	chr5	134938618	134940009	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr5	137419988	137419988	chr5	137419060	137420524	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr5	137802403	137802403	chr5	137801410	137803735	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr5	141642871	141642871	chr5	141642662	141643524	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr5	159694356	159694356	chr5	159692089	159694952	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr5	170173509	170173509	chr5	170172057	170175066	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr6	31107086	31107086	chr6	31105243	31108136	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr6	46457835	46457835	chr6	46457414	46458742	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr6	138409766	138409766	chr6	138407460	138410108	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr7	29284272	29284272	chr7	29283016	29284715	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr7	69201394	69201394	chr7	69201128	69204653	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr7	77044447	77044447	chr7	77044407	77045711	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr7	130012956	130012956	chr7	130012638	130014140	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr8	1011479	1011479	chr8	1011441	1014309	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr8	26437075	26437075	chr8	26436675	26438901	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr8	50294642	50294642	chr8	50293943	50295143	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr8	59952089	59952089	chr8	59950365	59952230	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr8	59979251	59979251	chr8	59977683	59979832	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr8	102252631	102252631	chr8	102252354	102253842	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr9	98536016	98536016	chr9	98532440	98536097	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr10	5705899	5705899	chr10	5704813	5706637	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr10	5706021	5706021	chr10	5704813	5706637	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr10	13341377	13341377	chr10	13340964	13342125	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr10	79444752	79444752	chr10	79444670	79447717	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr10	82247138	82247138	chr10	82243930	82247959	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr10	82311824	82311824	chr10	82311307	82312665	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr10	114715688	114715688	chr10	114715198	114720628	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr10	131841599	131841599	chr10	131840691	131843086	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr11	2712285	2712285	chr11	2706758	2714732	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr11	2715531	2715531	chr11	2714823	2720515	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr11	2933064	2933064	chr11	2932947	2935416	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr11	9648720	9648720	chr11	9646410	9651038	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr11	31885578	31885578	chr11	31884843	31886776	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr11	35161075	35161075	chr11	35159722	35162185	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr11	44906253	44906253	chr11	44905935	44910541	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr11	69526787	69526787	chr11	69526573	69527803	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr11	119235403	119235403	chr11	119235095	119236425	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr11	120678018	120678018	chr11	120677622	120679949	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr11	131547886	131547886	chr11	131546399	131548697	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr12	4388270	4388270	chr12	4384866	4388429	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr12	6340387	6340387	chr12	6339585	6341616	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr12	30946068	30946068	chr12	30944906	30946780	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr12	49390676	49390676	chr12	49389445	49394552	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr12	50298534	50298534	chr12	50296448	50298607	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr12	50303926	50303926	chr12	50302868	50305107	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr12	50304948	50304948	chr12	50302868	50305107	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr12	50305006	50305006	chr12	50302868	50305107	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr12	124983615	124983615	chr12	124983128	124990851	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr13	110916818	110916818	chr13	110916255	110920173	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr15	87435638	87435638	chr15	87435563	87437473	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr16	633353	633353	chr16	632263	634739	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr16	671681	671681	chr16	671329	673425	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr16	19196303	19196303	chr16	19195793	19197530	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr16	57771125	57771125	chr16	57769887	57771652	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr16	70743024	70743024	chr16	70742012	70743561	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr17	4316477	4316477	chr17	4316114	4316884	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
chr17	10082255	10082255	chr17	10079827	10083227	H3K4ME1	H1HESC	wgEncodeBroadHistoneH1hescH3k4me1StdAln.narrowPeak
